timestamp_ms,pitch,roll,ax,ay,az,acc_mag,gx,gy,gz,label
213584,-2.15,0.14,9.9910,-0.0395,-4.5418,10.9750,-14.9771,-1.0840,5.3740,normal
213605,-2.16,0.10,9.9994,-0.0622,-4.5454,10.9842,-15.2672,-0.7023,5.3893,normal
213625,-2.17,0.06,9.9216,-0.0263,-4.5382,10.9103,-15.5267,-0.3817,5.4198,normal
213645,-2.18,0.01,9.9311,-0.0826,-4.5346,10.9178,-15.8015,0.1679,5.5267,normal
213665,-2.20,-0.06,9.9216,-0.0838,-4.4843,10.8882,-16.4885,0.3969,5.7405,normal
213685,-2.23,-0.14,9.9503,-0.1041,-4.5047,10.9230,-16.7786,0.1679,6.0000,normal
213706,-2.27,-0.22,9.9730,-0.0850,-4.4568,10.9239,-17.0687,-0.0611,6.1221,normal
213726,-2.31,-0.30,9.9503,-0.0922,-4.4400,10.8964,-17.3588,-0.4427,6.0611,normal
213746,-2.36,-0.37,9.9946,-0.0922,-4.4484,10.9402,-17.4504,-0.5649,6.2290,normal
213766,-2.43,-0.41,10.0114,-0.0455,-4.4341,10.9494,-17.2366,-1.0840,6.0153,normal
213787,-2.48,-0.47,9.9264,-0.1018,-4.4855,10.8933,-17.0992,-1.2672,5.7863,normal
213807,-2.56,-0.53,9.9850,-0.1472,-4.3670,10.8992,-16.9160,-1.6641,5.8168,normal
213827,-2.65,-0.57,10.0245,-0.0754,-4.4472,10.9670,-16.6107,-1.7557,5.9237,normal
213847,-2.70,-0.58,9.9311,-0.0814,-4.4341,10.8764,-15.9542,-1.8168,5.2061,normal
213868,-2.76,-0.59,9.9371,-0.1053,-4.4472,10.8874,-15.8015,-1.3435,4.7481,normal
213888,-2.79,-0.61,9.9719,-0.1209,-4.4233,10.9095,-15.6489,-1.2366,4.4275,normal
213908,-2.84,-0.63,9.9240,-0.1425,-4.4269,10.8675,-15.4962,-1.3282,4.1985,normal
213928,-2.89,-0.64,10.0197,-0.1317,-4.4772,10.9753,-15.4656,-1.9084,4.1985,normal
213949,-2.94,-0.65,10.0030,-0.1556,-4.4879,10.9647,-15.4351,-2.3511,4.1832,normal
213969,-2.97,-0.67,9.9132,-0.1065,-4.4843,10.8808,-15.5573,-2.1069,4.2290,normal
213989,-2.97,-0.70,9.9132,-0.1844,-4.4700,10.8759,-16.1679,-1.7710,4.4733,normal
214009,-2.99,-0.76,9.9288,-0.2454,-4.4532,10.8845,-16.5954,-1.4351,4.5191,normal
