timestamp_ms,pitch,roll,ax,ay,az,acc_mag,gx,gy,gz,label
96015,0.62,-2.41,10.0868,1.0894,-3.0598,10.5968,-17.9695,-2.9466,2.4122,fall
96035,0.63,-2.37,10.1023,1.0666,-3.0299,10.6007,-18.1221,-2.9313,2.3206,fall
96055,0.65,-2.34,10.1275,1.1073,-3.0718,10.6408,-18.1679,-2.6107,2.0763,fall
96075,0.66,-2.31,10.1718,1.0977,-3.0706,10.6817,-18.2901,-2.6107,1.8321,fall
96096,0.66,-2.28,10.1897,1.0977,-3.055,10.6943,-18.3817,-2.6565,1.7405,fall
96116,0.66,-2.25,10.1837,1.0882,-3.0263,10.6795,-18.3053,-2.6718,1.9237,fall
96136,0.64,-2.22,10.1885,1.1097,-2.9904,10.6761,-18.0153,-2.4122,2.0458,fall
96156,0.64,-2.16,10.2101,1.1684,-2.9951,10.7043,-17.8321,-2.6718,2.4122,fall
96176,0.6,-2.1,10.2735,1.1241,-2.9485,10.7472,-17.4504,-2.9313,2.687,fall
96197,0.54,-2.06,10.234,1.1121,-2.9221,10.701,-17.2519,-3.4809,2.6107,fall
96217,0.46,-2.01,10.173,1.087,-2.8946,10.6325,-17.2214,-3.6794,2.6718,fall
96237,0.38,-1.97,10.149,1.093,-2.8551,10.5995,-17.4046,-4.2901,3.145,fall
96257,0.31,-1.94,10.1179,1.0451,-2.8994,10.5769,-17.4504,-4.0916,3.3893,fall
96278,0.28,-1.9,10.064,1.0798,-2.9329,10.5381,-17.145,-3.8473,3.1298,fall
96298,0.24,-1.85,10.0904,1.1013,-2.8539,10.5439,-17.1756,-3.2519,2.7634,fall
96318,0.2,-1.81,10.0904,1.1049,-2.8072,10.5317,-17.1145,-2.5038,3.0076,fall
96338,0.15,-1.75,10.1849,1.1085,-2.8515,10.6345,-16.9466,-2.1069,3.5267,fall
96358,0.11,-1.69,10.2412,1.1456,-2.8419,10.6898,-16.7481,-2.3969,3.8626,fall
96379,0.08,-1.62,10.2077,1.1181,-2.8683,10.6618,-16.6412,-2.9771,3.9847,fall
96399,0.03,-1.57,10.2484,1.1061,-2.8647,10.6986,-16.458,-3.1603,4.0611,fall
96419,-0.04,-1.53,10.2304,1.0798,-2.8323,10.67,-16.5038,-3.3435,3.9389,fall
96439,-0.1,-1.49,10.2675,1.0822,-2.8192,10.7024,-16.5344,-3.7252,4.229,fall
96459,-0.22,-1.49,10.3202,1.0714,-2.7629,10.7372,-16.7939,-4.9618,4.6565,fall
96480,-0.33,-1.5,10.2675,1.0044,-2.8467,10.7021,-17.2214,-5.7405,4.8397,fall
96500,-0.4,-1.5,10.173,1.0594,-2.824,10.6107,-17.2977,-5.7557,4.6565,fall
96520,-0.48,-1.51,10.1167,1.0391,-2.8587,10.5641,-17.8931,-5.7863,4.6718,fall
96540,-0.52,-1.52,10.082,1.0487,-2.8539,10.5305,-17.9237,-5.7252,4.9771,fall
96561,-0.57,-1.51,10.1382,1.081,-2.8072,10.5751,-18.0153,-5.7252,5.2977,fall
96581,-0.63,-1.5,10.1382,1.0942,-2.8299,10.5825,-17.8626,-5.8473,5.3588,fall
