timestamp_ms,pitch,roll,ax,ay,az,acc_mag,gx,gy,gz,label
126659,-0.20,5.14,10.3286,0.5124,-2.9688,10.7590,-20.3359,-2.1374,7.2366,normal
126679,-0.22,4.95,10.2568,0.5531,-3.0191,10.7062,-20.7786,-2.9160,7.1908,normal
126700,-0.27,4.75,10.2663,0.5160,-2.9975,10.7074,-21.2061,-3.0076,6.8855,normal
126720,-0.31,4.58,10.2556,0.5555,-3.0047,10.7011,-21.2519,-3.0992,6.4580,normal
126740,-0.35,4.45,10.2580,0.5974,-2.9987,10.7040,-21.0840,-3.2824,5.9389,normal
126760,-0.40,4.35,10.2723,0.6117,-2.9664,10.7095,-20.4885,-3.4504,5.5115,normal
126781,-0.46,4.27,10.2496,0.5662,-2.9592,10.6832,-19.5267,-3.6031,5.2672,normal
126801,-0.52,4.22,10.2639,0.5986,-2.9006,10.6827,-18.5496,-3.7252,4.8550,normal
126821,-0.59,4.17,10.2975,0.5267,-2.9413,10.7222,-18.2901,-4.3053,4.0611,normal
126841,-0.72,4.09,10.5093,0.4573,-2.8838,10.9074,-17.2977,-4.9313,3.9084,normal
126861,-0.82,4.10,10.5788,0.6871,-3.0275,11.0249,-14.1985,-6.1679,3.2977,normal
126882,-0.88,4.33,10.7631,0.9397,-3.1065,11.2418,-10.1832,-7.4046,1.5420,normal
126902,-0.95,4.62,10.7212,0.9206,-3.0813,11.1932,-7.4962,-8.7176,-0.8702,normal
126922,-1.07,4.95,10.7548,0.9098,-3.0143,11.2062,-2.8702,-10.0000,-2.9466,normal
126942,-1.20,5.41,10.6039,1.0690,-2.9209,11.0507,3.9084,-11.2366,-4.0916,normal
126962,-1.29,6.09,10.4926,1.3084,-3.0155,10.9954,12.3053,-12.9771,-5.4351,normal
126983,-1.34,7.00,10.2855,1.4006,-3.0670,10.8240,20.9160,-15.3893,-8.3817,normal
127003,-1.37,7.93,10.1766,1.3204,-3.0969,10.7190,27.2061,-17.7252,-11.1756,normal
127023,-1.42,8.83,10.1083,1.1468,-3.1615,10.6531,33.0687,-18.2137,-12.8702,normal
127043,-1.41,9.68,9.8797,1.0403,-3.2298,10.4461,38.1985,-18.3511,-13.9084,normal
127064,-1.34,10.47,9.8031,0.9170,-3.2765,10.3767,41.9847,-17.2366,-14.6718,normal
127084,-1.30,11.27,9.8821,0.9182,-3.2358,10.4388,45.4656,-16.1069,-15.0229,normal
127104,-1.23,11.99,9.9144,0.8667,-3.2609,10.4728,48.0000,-14.8855,-15.4351,normal
127124,-1.13,12.62,9.8641,0.7685,-3.3339,10.4406,49.6183,-14.1221,-16.8550,normal
127144,-1.01,13.13,9.8833,0.5926,-3.3040,10.4377,50.6107,-12.9466,-18.1985,normal
