timestamp_ms,pitch,roll,ax,ay,az,acc_mag,gx,gy,gz,label
755072,6.59,8.73,9.985,1.2318,-4.2796,10.9331,-13.2214,-6.1985,4.7481,pre_fall
755092,6.55,8.71,9.9156,1.3324,-4.2952,10.8877,-13.7099,-5.4351,4.3206,pre_fall
755112,6.58,8.71,9.8916,1.3467,-4.3802,10.9016,-13.4351,-4.1374,4.229,pre_fall
755132,6.63,8.73,9.8713,1.3647,-4.361,10.8777,-11.7099,-3.313,4.3053,pre_fall
755153,6.69,8.79,9.9683,1.3671,-4.3814,10.9741,-10.1069,-2.5649,4,pre_fall
755173,6.71,8.84,10.0233,1.3036,-4.3024,10.9853,-8.6412,-2.687,3.2672,pre_fall
755193,6.69,8.89,10.0185,1.2641,-4.2557,10.9581,-8.3359,-2.6718,2.6718,pre_fall
755213,6.65,8.88,10.0305,1.1444,-4.227,10.9448,-9.0076,-2.8244,2.3969,pre_fall
755233,6.6,8.8,10.0592,1.0882,-4.2689,10.9816,-10.2443,-3.5573,2.5496,pre_fall
755254,6.54,8.68,10.0724,1.0139,-4.3275,11.0095,-12.2137,-4.5038,2.8397,pre_fall
755274,6.47,8.51,10.0197,1.0259,-4.2808,10.9441,-13.8931,-5.374,2.9771,pre_fall
755294,6.43,8.37,9.9539,1.1396,-4.3096,10.9065,-14.9771,-5.9084,2.9466,pre_fall
755314,6.42,8.24,9.9443,1.1085,-4.4329,10.9439,-15.9237,-5.6031,2.5191,pre_fall
755334,6.44,8.11,9.9024,1.154,-4.3718,10.8859,-16.1374,-5.3435,2.0611,pre_fall
755355,6.48,8.05,9.8246,1.2977,-4.3886,10.8382,-15.4351,-5.2672,1.8779,pre_fall
755375,6.56,8.04,9.8593,1.312,-4.4377,10.8913,-15.084,-4.3053,2.229,pre_fall
755395,6.65,8.04,9.9264,1.3024,-4.4305,10.948,-14.9924,-3.8626,2.7634,pre_fall
755415,6.71,8.02,9.9168,1.2665,-4.4448,10.9409,-15.2214,-4.0458,3.084,pre_fall
755435,6.76,7.98,9.9323,1.2366,-4.3838,10.927,-15.7557,-4.3206,3.0382,pre_fall
755456,6.8,7.94,9.9323,1.2713,-4.4424,10.9546,-15.9695,-4.7481,2.9313,pre_fall
755476,6.86,7.93,9.9204,1.3324,-4.4712,10.9627,-15.5573,-5.1908,2.7786,pre_fall
755496,6.94,7.95,9.9695,1.3252,-4.5729,11.048,-14.3359,-5.3435,2.1679,pre_fall
755516,7.01,7.99,10.0006,1.3575,-4.5729,11.08,-13.1603,-5.2824,1.5267,pre_fall
755536,7.08,8.06,9.9539,1.3599,-4.5167,11.015,-12.458,-5.1603,0.916,pre_fall
755557,7.15,8.13,9.8246,1.2905,-4.4819,10.8755,-12.2443,-4.8397,0.4122,pre_fall
755577,7.23,8.16,9.821,1.2522,-4.4796,10.8668,-12.2748,-4.2595,0.1832,pre_fall
755597,7.3,8.16,9.8617,1.1803,-4.4724,10.8926,-12.3511,-3.9084,0.3206,pre_fall
755617,7.32,8.14,9.8114,1.1791,-4.3682,10.8044,-12.687,-3.9237,0.687,pre_fall
755637,7.34,8.11,9.7971,1.1181,-4.4065,10.8005,-13.2824,-3.6336,0.6107,pre_fall
755658,7.33,8.01,9.906,1.0163,-4.3491,10.8663,-14.6412,-3.084,0.8397,pre_fall
755678,7.31,7.88,9.8713,1.0463,-4.3263,10.8284,-15.4656,-2.7176,1.4656,pre_fall
755698,7.32,7.78,9.9347,1.1085,-4.3874,10.9168,-15.1756,-2.8702,1.3435,pre_fall
755718,7.33,7.71,10.0928,1.1049,-4.5059,11.108,-14.7634,-3.4656,0.5954,pre_fall
755738,7.35,7.67,10.0868,1.2103,-4.4807,11.1034,-14.7481,-4.1069,-0.1069,pre_fall
755759,7.35,7.66,10.0533,1.2163,-4.4688,11.0687,-15.2214,-4.7023,-0.3053,pre_fall
755779,7.37,7.64,10.0963,1.2163,-4.5622,11.1458,-15.1145,-4.626,-0.7634,pre_fall
755799,7.39,7.62,10.0975,1.2258,-4.6196,11.1716,-15.1603,-5.542,-1.1756,pre_fall
755819,7.42,7.62,10.0904,1.2474,-4.6866,11.1954,-15.3282,-6.3817,-1.3435,pre_fall
755839,7.47,7.63,9.9719,1.2617,-4.6292,11.0661,-15.4656,-6.4122,-1.4198,pre_fall
755860,7.53,7.66,9.9252,1.324,-4.6005,11.0193,-15.9695,-5.3435,-1.5878,pre_fall
755880,7.63,7.72,9.9072,1.4353,-4.5981,11.0161,-16.0916,-4.4427,-2.229,pre_fall
755900,7.73,7.81,9.8545,1.4772,-4.5765,10.9653,-15.7252,-3.6183,-3.4046,pre_fall
755920,7.87,7.97,9.7528,1.579,-4.61,10.9024,-14,-3.313,-4.4885,pre_fall
755940,8.04,8.21,9.6666,1.6568,-4.6029,10.8339,-11.6336,-3.0229,-5.3893,pre_fall
755961,8.25,8.53,9.6091,1.7346,-4.6005,10.7939,-8.4885,-2.1374,-5.9237,pre_fall
755981,8.47,8.93,9.5696,1.8172,-4.5849,10.7657,-4.7939,-1.1298,-5.6183,pre_fall
756001,8.69,9.46,9.5098,2.0303,-4.4101,10.6774,0.4733,-0.7481,-5.5725,pre_fall
756021,8.91,10.2,9.4786,2.2326,-4.458,10.7099,8.1374,-0.5344,-6.3817,pre_fall
756041,9.25,11.13,8.9866,2.4086,-4.5215,10.3443,15.9695,0.4427,-6.4275,pre_fall
756062,9.76,12.2,8.691,2.2015,-4.5143,10.0378,23.0534,3.9084,-5.8321,pre_fall
756082,10.26,13.15,8.8023,2.0363,-4.5873,10.1326,28.916,7.6489,-4,pre_fall
756102,10.73,14.02,9.2189,1.913,-4.7657,10.5527,34.9771,10.1374,-1.5267,pre_fall
756122,11.11,14.88,9.8043,2.0399,-4.7944,11.1027,40.4885,11.3588,0.7328,pre_fall
756142,11.26,15.67,10.5812,1.8555,-4.6531,11.7071,44.4885,9.8931,1.084,pre_fall
756163,11.14,16.38,10.9559,1.7071,-4.4197,11.9364,47.6031,6.8855,-1.2061,pre_fall
756183,10.84,16.98,10.7583,1.7322,-4.1204,11.6499,49.9084,5.6641,-4.9771,pre_fall
756203,10.48,17.58,10.5153,1.7107,-3.8116,11.3149,50.855,6.2901,-9.6947,pre_fall
756223,10.08,18.08,10.4866,1.4856,-3.6691,11.2088,53.4504,7.2366,-14.7023,pre_fall
756244,9.6,18.51,10.4052,1.4042,-3.4955,11.0661,58.3664,6.6718,-18.8092,pre_fall
756264,9.14,19.1,10.2975,1.4305,-3.5781,10.9949,66.1527,4.5802,-21.8931,pre_fall
756284,8.71,19.69,10.2065,1.3479,-3.6907,10.9366,76.1832,1.8779,-24.9924,pre_fall
756304,8.35,20.36,10.0556,1.3036,-3.8475,10.8452,84.5343,0.7786,-27.3435,pre_fall
756324,8.11,21.03,9.8821,1.2737,-4.1049,10.7762,89.8626,0.6565,-28.2443,pre_fall
756345,8,21.76,9.9683,1.1708,-4.2509,10.8999,91.6794,0.7176,-28.0153,pre_fall
756365,7.86,22.16,9.894,0.8595,-4.1803,10.7752,88.687,0.7786,-26.687,pre_fall
756385,7.74,22.32,9.5265,0.8104,-4.2306,10.4551,83.4809,0.3359,-24.9313,pre_fall
756405,7.76,22.33,9.6151,0.8847,-4.5179,10.6604,76.4427,-0.0916,-23.8931,pre_fall
756425,7.68,22.18,10.2364,0.9816,-4.3479,11.1648,67.4198,-2.0458,-23.9237,pre_fall
756446,7.47,21.92,10.416,1.1995,-4.4508,11.3904,56.3664,-4.7786,-23.313,pre_fall
756466,7.35,21.49,10.5177,1.3048,-4.7752,11.6245,47.3893,-8.9618,-21.9542,pre_fall
756486,7.23,20.92,10.5345,1.3455,-4.8483,11.6744,39.2672,-10.8092,-18.8702,pre_fall
756506,7.16,20.28,10.3118,1.415,-4.956,11.5281,32.3206,-12.2748,-14.3969,pre_fall
756526,7.17,19.56,10.0604,1.3563,-4.8231,11.239,27.2519,-8.9924,-9.313,pre_fall
756547,7.26,18.83,9.6762,1.3922,-4.6328,10.818,22.1221,-5.5878,-5.1756,pre_fall
756567,7.37,18.08,9.7025,1.4461,-4.555,10.8156,18.0305,-3.542,-2.3969,pre_fall
756587,7.48,17.32,9.8521,1.494,-4.5861,10.9695,15.4656,-3.6031,-0.916,pre_fall
756607,7.53,16.62,9.8821,1.6065,-4.5753,11.0077,13.5878,-5.6031,0.3511,pre_fall
