timestamp_ms,pitch,roll,ax,ay,az,acc_mag,gx,gy,gz,label
763336,-54.78,1.62,9.5864,-0.8835,-4.9321,10.8169,-16.9313,-14.5038,-2.6412,normal
763357,-54.83,1.34,9.5301,-1.0008,-5.0518,10.8326,-15.6794,-15.8779,-4.4122,normal
763377,-54.81,1.03,9.4739,-1.1408,-5.1308,10.8342,-13.6641,-16.5191,-6.1374,normal
763397,-54.74,0.75,9.4344,-1.2222,-5.1487,10.8171,-11.6183,-15.9542,-7.7099,normal
763417,-54.62,0.50,9.4739,-1.2366,-5.2349,10.8944,-9.7099,-14.6870,-9.8931,normal
763437,-54.48,0.32,9.6043,-1.2354,-5.2277,11.0045,-8.3969,-13.4656,-12.0916,normal
763458,-54.37,0.17,9.6750,-1.2402,-5.2445,11.0746,-7.3740,-13.0382,-14.2901,normal
763478,-54.24,0.02,9.6343,-1.3276,-5.2074,11.0317,-7.2061,-12.4275,-15.9389,normal
763498,-54.09,-0.18,9.6498,-1.4317,-5.1906,11.0504,-7.8321,-11.4809,-17.3740,normal
763518,-53.95,-0.42,9.6438,-1.4748,-5.2110,11.0604,-9.3282,-10.9313,-18.0305,normal
763539,-53.81,-0.66,9.7312,-1.4018,-5.1715,11.1088,-10.8092,-10.9008,-18.1679,normal
763559,-53.75,-0.87,9.8126,-1.2641,-5.1499,11.1538,-12.6870,-12.0916,-18.7176,normal
763579,-53.73,-1.00,9.6905,-1.0942,-5.2074,11.0553,-14.4275,-14.3206,-19.7710,normal
763599,-53.70,-1.15,9.4739,-1.1372,-5.1715,10.8532,-16.5649,-16.8397,-20.9466,normal
763619,-53.65,-1.32,9.2739,-1.0247,-5.2409,10.7015,-18.4275,-19.5420,-22.1985,normal
763640,-53.65,-1.42,8.9435,-0.7051,-5.0721,10.3058,-20.5649,-21.7099,-23.1908,normal
763660,-53.59,-1.29,8.2768,-0.1293,-5.0218,9.6820,-22.7023,-23.9542,-25.1298,normal
763680,-53.33,-0.80,7.8913,0.6476,-5.4241,9.5975,-22.9924,-26.2443,-27.8015,normal
763700,-52.92,0.05,8.5677,1.2222,-5.9340,10.4934,-21.3282,-31.2977,-30.4733,normal
763721,-52.83,0.99,9.7229,1.5467,-6.1100,11.5870,-19.4656,-40.8092,-32.5038,normal
763741,-52.96,2.11,9.4679,2.1440,-6.4069,11.6312,-17.6183,-50.1527,-33.6336,normal
763761,-52.75,3.57,8.9818,2.9856,-6.9623,11.7500,-13.9389,-54.7328,-34.9771,normal
763781,-52.23,5.19,8.8609,3.1232,-7.4927,12.0171,-9.3435,-55.0229,-36.7481,normal
763801,-51.64,6.78,9.5134,3.2106,-7.9428,12.8023,-2.4885,-52.1832,-37.9389,normal
763822,-51.19,8.32,10.0880,3.1328,-7.9200,13.2026,2.2443,-48.5649,-39.1298,normal
763842,-50.78,9.72,9.9707,2.9293,-7.8183,13.0046,6.4885,-44.7481,-40.6107,normal
763862,-50.18,11.13,9.5002,3.1651,-7.8123,12.7005,11.0382,-39.5267,-41.8168,normal
763882,-49.40,12.69,9.3003,3.4884,-7.5549,12.4796,16.5496,-32.4122,-43.4351,normal
763903,-48.55,14.36,9.1746,3.6236,-7.2377,12.2347,23.8473,-26.1069,-46.5191,normal
763923,-47.70,16.14,8.8370,3.4776,-6.9372,11.7606,30.9618,-22.2443,-50.2443,normal
763943,-46.89,17.75,8.6479,3.0945,-6.8606,11.4642,37.2672,-21.5420,-53.0076,normal
763963,-46.10,19.24,8.3127,2.9413,-6.9025,11.1980,42.9771,-23.4351,-54.5496,normal
763983,-45.31,20.64,7.9332,2.7126,-7.0677,10.9657,48.0611,-26.6870,-54.4122,normal
764004,-44.51,21.95,7.6746,2.4660,-7.2628,10.8503,51.9084,-30.3511,-52.1221,normal
764024,-43.70,22.97,7.4555,2.2122,-7.4448,10.7659,53.6794,-32.0000,-50.1679,normal
764044,-42.87,23.90,7.3179,2.2015,-7.5393,10.7350,56.0916,-32.8092,-48.4733,normal
764064,-41.96,24.75,7.0581,2.1763,-7.6746,10.6514,57.2519,-31.1756,-46.7481,normal
764085,-40.97,25.52,7.0437,2.2003,-7.8147,10.7482,58.8702,-27.8626,-44.6565,normal
764105,-40.00,26.28,7.3322,2.1500,-8.0050,11.0664,60.7328,-25.2214,-42.5802,normal
764125,-39.13,26.85,7.5465,2.0339,-8.0984,11.2548,62.7786,-23.0534,-40.5496,normal
764145,-38.32,27.36,7.6184,2.0363,-8.0553,11.2727,66.2137,-20.6107,-38.8550,normal
764165,-37.57,27.85,7.7261,1.9896,-7.9895,11.2908,70.5496,-19.1450,-36.9466,normal
764186,-36.82,28.47,7.4448,2.1201,-7.8183,11.0020,76.2137,-17.0382,-35.8015,normal
764206,-36.12,29.14,7.1778,2.1608,-7.4891,10.5960,84.8092,-16.5649,-34.4427,normal
764226,-35.39,29.78,6.8402,1.7729,-7.4627,10.2774,90.5954,-14.3817,-34.2901,normal
764246,-34.57,30.30,6.4009,1.4210,-7.3502,9.8497,98.8855,-10.9771,-34.4733,normal
764266,-33.76,30.84,6.7576,1.4497,-7.0797,9.8939,107.4504,-6.4580,-34.4733,normal
764287,-33.20,31.43,10.6769,1.2689,-9.8126,14.5566,115.9389,-20.2290,-33.6794,normal
764307,-34.03,30.45,7.5465,-3.1831,-8.2995,11.6604,100.9160,-37.0229,-44.4122,normal
764327,-32.40,29.04,3.4417,-0.7266,-11.0660,11.6116,87.5420,-40.0458,-41.2977,normal
764347,-30.31,28.35,5.4923,0.0503,-12.0500,13.2428,86.4122,-42.5496,-39.4962,normal
