timestamp_ms,pitch,roll,ax,ay,az,acc_mag,gx,gy,gz,label
229491,-64.84,3.67,10.1598,-0.2191,-2.8874,10.5644,-14.1069,-2.3817,2.9924,normal
229511,-64.82,3.71,10.1694,-0.1927,-2.8563,10.5646,-14.0611,-2.2137,3.1298,normal
229531,-64.80,3.75,10.2077,-0.1903,-2.8455,10.5986,-13.7557,-2.1985,3.0076,normal
229551,-64.79,3.80,10.2029,-0.1748,-2.9042,10.6096,-13.6031,-2.2748,3.0534,normal
229572,-64.77,3.84,10.1897,-0.1784,-2.8419,10.5801,-13.5115,-2.4733,2.9466,normal
229592,-64.75,3.88,10.1406,-0.1796,-2.9209,10.5545,-13.2977,-2.0305,2.8092,normal
229612,-64.72,3.92,10.2161,-0.2215,-2.9006,10.6222,-13.2519,-1.9084,2.9008,normal
229632,-64.70,3.97,10.2137,-0.1520,-2.9149,10.6226,-12.9618,-2.2290,3.0229,normal
229652,-64.68,4.02,10.2005,-0.1915,-2.8910,10.6040,-12.7481,-2.2137,3.0076,normal
229673,-64.67,4.08,10.1873,-0.1508,-2.9102,10.5959,-12.5802,-2.3511,2.7939,normal
229693,-64.66,4.13,10.1574,-0.1879,-2.8958,10.5638,-12.4733,-2.3206,2.7176,normal
229713,-64.64,4.17,10.1837,-0.1844,-2.9197,10.5956,-12.2748,-2.3359,2.7481,normal
229733,-64.62,4.21,10.1885,-0.1760,-2.9066,10.5965,-12.1985,-2.1832,2.9313,normal
229754,-64.60,4.26,10.1909,-0.1568,-2.9197,10.6021,-12.1221,-2.3664,2.8244,normal
229774,-64.59,4.31,10.1837,-0.1413,-2.8994,10.5894,-11.9542,-2.3817,2.7634,normal
229794,-64.58,4.35,10.1694,-0.1784,-2.8850,10.5722,-11.8473,-2.5649,2.6260,normal
229814,-64.57,4.38,10.2005,-0.1700,-2.9030,10.6069,-11.8015,-2.5954,2.4885,normal
229834,-64.57,4.42,10.2029,-0.1317,-2.8599,10.5969,-11.7863,-2.6565,2.4427,normal
229855,-64.57,4.47,10.2328,-0.1101,-2.9102,10.6392,-11.5420,-2.8550,2.3206,normal
229875,-64.57,4.51,10.2412,-0.1149,-2.9293,10.6525,-11.3282,-3.0076,2.3511,normal
229895,-64.60,4.58,10.2197,-0.0730,-2.8838,10.6190,-10.9771,-3.2519,2.2748,normal
229915,-64.60,4.65,10.2436,-0.0718,-2.9209,10.6521,-10.4275,-3.6336,2.1527,normal
229936,-64.63,4.74,10.2280,-0.0587,-2.8898,10.6286,-9.7405,-3.9847,2.1374,normal
229956,-64.66,4.86,10.2903,-0.0108,-2.9113,10.6942,-8.9008,-4.7481,2.1221,normal
229976,-64.72,4.99,10.2927,0.0060,-2.8994,10.6932,-7.8015,-5.6489,1.9695,normal
229996,-64.80,5.14,10.3465,0.0239,-2.9066,10.7471,-6.3053,-7.0076,2.0305,normal
230016,-64.88,5.33,10.3453,0.0646,-2.9449,10.7565,-4.0153,-8.6870,2.2443,normal
230037,-64.96,5.54,10.2268,0.0084,-2.9772,10.6514,-2.7634,-10.1069,2.4122,normal
230057,-65.03,5.66,10.1813,-0.2059,-3.0179,10.6212,-1.7710,-11.3588,2.8855,normal
230077,-65.06,5.74,10.1598,-0.2071,-3.1400,10.6360,-0.4580,-12.2443,3.3435,normal
230097,-65.08,5.84,10.1430,-0.2047,-3.0921,10.6059,0.1985,-12.5649,3.5573,normal
230117,-65.09,5.91,10.1359,-0.2550,-3.1053,10.6039,-0.1374,-12.2595,3.6031,normal
230138,-65.06,5.95,10.1454,-0.2670,-3.1807,10.6357,-0.4122,-11.3893,3.6947,normal
230158,-65.01,5.98,10.2292,-0.2430,-3.1927,10.7186,-0.8092,-10.9466,3.6031,normal
230178,-64.95,5.99,10.1574,-0.2251,-3.1687,10.6426,-1.1298,-10.7176,3.5573,normal
230198,-64.88,6.01,10.1323,-0.2035,-3.2058,10.6293,-1.2366,-10.5191,3.2519,normal
230219,-64.81,6.01,10.1251,-0.2215,-3.1879,10.6174,-1.4351,-10.3969,3.1145,normal
230239,-64.72,6.01,10.0281,-0.2586,-3.2142,10.5338,-1.0534,-9.8779,3.1908,normal
230259,-64.61,6.00,10.0580,-0.2670,-3.2417,10.5709,-0.5649,-10.0305,3.4809,normal
230279,-64.51,5.97,10.0832,-0.3280,-3.2513,10.5995,-0.0153,-10.6870,3.6336,normal
230299,-64.40,5.91,10.0473,-0.3747,-3.3471,10.5967,0.2443,-11.4809,3.7710,normal
230320,-64.27,5.82,10.0377,-0.4525,-3.3950,10.6059,0.5649,-12.2137,3.6947,normal
230340,-64.10,5.70,10.0449,-0.5531,-3.4393,10.6317,0.6260,-12.5344,3.6336,normal
230360,-63.90,5.54,10.0269,-0.6069,-3.6236,10.6789,0.4427,-12.3053,3.3282,normal
230380,-63.65,5.36,10.1622,-0.6632,-3.6835,10.8295,-0.0763,-11.1756,3.0229,normal
230400,-63.39,5.14,10.1526,-0.7254,-3.7026,10.8310,-0.8550,-9.7252,3.0534,normal
230421,-63.11,4.88,10.1215,-0.8056,-3.6081,10.7755,-1.9237,-8.0153,3.5267,normal
230441,-62.81,4.57,10.0975,-0.8787,-3.6559,10.7749,-3.2061,-6.4275,4.0458,normal
230461,-62.52,4.22,10.1203,-0.9433,-3.5913,10.7800,-4.8855,-5.0992,4.2443,normal
230481,-62.21,3.83,9.9228,-0.9529,-3.5925,10.5960,-7.4046,-3.8321,4.0305,normal
230502,-61.86,3.42,9.7815,-0.9625,-3.6009,10.4676,-9.2672,-2.3969,3.7863,normal
230522,-61.50,3.04,9.8174,-0.8583,-3.5877,10.4876,-9.9847,-0.6107,3.0229,normal
230542,-61.19,2.74,9.8019,-0.7506,-3.5710,10.4590,-10.3053,0.8702,2.3206,normal
230562,-60.88,2.48,9.8665,-0.7434,-3.5590,10.5151,-10.3664,2.1221,1.7252,normal
230582,-60.59,2.20,9.9252,-0.8392,-3.5482,10.5737,-10.2595,2.7328,1.0840,normal
230603,-60.29,1.92,9.9455,-0.9122,-3.6009,10.6166,-10.0458,3.2519,0.9466,normal
230623,-60.02,1.65,9.9946,-0.9218,-3.5733,10.6541,-9.7863,3.7557,0.8092,normal
230643,-59.76,1.40,10.0293,-0.8966,-3.5949,10.6918,-9.8168,4.4427,0.8397,normal
230663,-59.57,1.19,10.0317,-0.8763,-3.4656,10.6496,-9.6031,5.5878,0.9618,normal
230683,-59.42,1.01,9.8689,-0.8823,-3.3136,10.4476,-10.0916,6.5802,1.7252,normal
230704,-59.22,0.75,9.9994,-1.0283,-3.3830,10.6061,-10.8397,7.7710,2.7939,normal
230724,-59.12,0.53,10.3585,-0.9673,-3.3639,10.9339,-9.4809,7.8931,3.8321,normal
230744,-59.09,0.45,10.3130,-0.7350,-3.3064,10.8550,-9.0534,6.7176,4.6718,normal
230764,-59.10,0.42,10.2783,-0.7458,-3.2813,10.8151,-8.6870,6.3664,5.0687,normal
230785,-59.13,0.41,10.3896,-0.7135,-3.2310,10.9038,-7.2214,6.2748,5.4656,normal
230805,-59.21,0.46,10.4842,-0.6189,-3.2406,10.9910,-5.9389,5.3588,5.0076,normal
230825,-59.35,0.61,10.1969,-0.4597,-3.1615,10.6857,-5.6336,4.1221,4.0458,normal
230845,-59.46,0.75,9.9048,-0.5100,-3.1376,10.4024,-5.7405,4.0763,3.2061,normal
230865,-59.55,0.86,9.8641,-0.5375,-3.1184,10.3593,-4.8092,4.5344,2.0611,normal
230886,-59.66,0.97,9.8641,-0.5399,-3.0646,10.3433,-4.0611,4.1985,1.3282,normal
230906,-59.79,1.13,9.9395,-0.4381,-3.0526,10.4069,-3.4351,4.0153,0.6107,normal
230926,-59.95,1.34,10.1131,-0.3448,-3.0658,10.5732,-3.6183,3.6336,0.4733,normal
230946,-60.13,1.53,10.1670,-0.3615,-3.0323,10.6157,-3.9695,3.3893,0.7481,normal
230966,-60.31,1.68,10.1622,-0.4190,-3.0203,10.6098,-5.2824,3.4962,1.3893,normal
230987,-60.48,1.74,10.1574,-0.4956,-2.9999,10.6027,-6.7023,3.6794,1.9542,normal
231007,-60.68,1.73,10.2065,-0.5806,-2.8635,10.6164,-8.8550,3.4351,2.3664,normal
231027,-60.93,1.64,10.0353,-0.5878,-2.7605,10.4246,-11.8321,2.7328,2.4580,normal
231047,-61.18,1.52,9.8354,-0.5219,-2.6935,10.2109,-14.8397,2.1527,2.7023,normal
231067,-61.45,1.40,9.8138,-0.3974,-2.7138,10.1899,-17.4809,1.6336,2.9008,normal
231088,-61.75,1.35,10.1550,-0.1712,-2.7114,10.5122,-19.2672,0.3664,2.5496,normal
231108,-62.09,1.37,10.7356,-0.0754,-2.8730,11.1136,-20.4427,-2.2901,1.7405,normal
231128,-62.52,1.41,11.1163,-0.0431,-2.8144,11.4671,-20.5954,-5.8626,0.7176,normal
231148,-63.01,1.51,10.7404,0.1341,-2.8156,11.1041,-20.8855,-9.4351,1.6183,normal
231169,-63.42,1.66,10.4543,0.1748,-2.8204,10.8295,-20.4427,-9.9237,2.6260,normal
231189,-63.79,1.85,10.3729,0.2622,-2.7533,10.7353,-18.5191,-9.1298,2.6260,normal
231209,-64.12,2.14,10.3046,0.3304,-2.7497,10.6703,-16.0763,-8.1069,1.8779,normal
231229,-64.40,2.47,10.4220,0.3579,-2.7007,10.7721,-13.2519,-6.8702,0.9771,normal
231249,-64.71,2.85,10.4267,0.3304,-2.5379,10.7362,-9.1298,-5.8931,0.5954,normal
231270,-65.01,3.28,10.2268,0.3496,-2.4325,10.5180,-5.2214,-4.8855,0.7634,normal
231290,-65.30,3.80,10.0952,0.4369,-2.3212,10.3678,-0.8244,-3.2977,0.6107,normal
231310,-65.59,4.43,10.0808,0.5614,-2.1584,10.3245,3.6336,-2.7481,-0.8702,normal
231330,-65.88,5.10,10.0556,0.5543,-2.1835,10.3049,7.6641,-3.3130,-2.8397,normal
231350,-66.15,5.77,10.1011,0.5028,-2.2637,10.3639,13.3740,-5.0534,-5.1603,normal
231371,-66.41,6.58,10.1047,0.6752,-2.2793,10.3806,19.5420,-7.2061,-7.2977,normal
231391,-66.67,7.48,10.1694,0.7733,-2.3068,10.4564,25.3740,-9.1298,-8.9618,normal
231411,-66.91,8.40,10.1059,0.6895,-2.3679,10.4025,31.0534,-10.4733,-10.2137,normal
231431,-67.13,9.28,10.0628,0.5746,-2.4026,10.3616,36.8550,-11.5573,-10.6565,normal
231451,-67.34,10.12,10.1299,0.4262,-2.4277,10.4254,42.4733,-12.9618,-10.4275,normal
231472,-67.60,10.96,10.2161,0.2957,-2.4457,10.5089,46.7176,-14.6565,-10.3817,normal
231492,-67.86,11.63,10.1622,0.0970,-2.4421,10.4520,49.9389,-16.5344,-10.1221,normal
231512,-68.10,12.19,10.1239,-0.0646,-2.5702,10.4452,52.4733,-18.1679,-9.5420,normal
231532,-68.28,12.67,10.1849,-0.0886,-2.7258,10.5438,54.6718,-19.7863,-8.5344,normal
231553,-68.49,13.15,10.1837,-0.1556,-2.7066,10.5384,55.7099,-21.2977,-7.8626,normal
231573,-68.56,13.51,10.0832,-0.1389,-2.9137,10.4967,55.4809,-22.3969,-7.4809,normal
231593,-68.56,13.81,10.1706,-0.1628,-3.0742,10.6263,55.4656,-22.0153,-7.4351,normal
231613,-68.49,14.10,10.3609,-0.0826,-3.1304,10.8238,55.6641,-21.7099,-6.3664,normal
231633,-68.42,14.36,10.4208,0.0072,-3.1687,10.8919,56.2595,-20.4275,-5.0229,normal
231654,-68.28,14.74,10.3956,0.1772,-3.2202,10.8844,57.9389,-17.5420,-3.5878,normal
231674,-68.07,15.14,10.3537,0.3867,-3.1448,10.8277,60.4122,-14.0000,-2.3053,normal
231694,-67.75,15.61,10.4878,0.4741,-3.3220,11.0115,63.9542,-10.8092,-1.2366,normal
231714,-67.38,16.08,11.3114,0.3065,-3.5350,11.8549,68.6718,-8.7176,-0.1985,normal
231735,-67.16,16.36,11.7005,-0.2035,-3.4034,12.1871,72.5649,-9.2214,-0.3511,normal
231755,-66.87,16.60,10.8445,-0.1652,-3.5817,11.4219,74.1985,-10.8550,0.9008,normal
231775,-66.43,16.81,10.1526,0.0144,-3.6631,10.7933,74.6260,-6.5038,1.6183,normal
231795,-65.79,17.11,9.8605,0.2622,-3.7481,10.5521,76.9313,-1.6183,-0.1527,normal
231815,-65.07,17.55,9.5768,0.4369,-3.6955,10.2744,80.9008,1.1145,-3.3130,normal
231836,-64.38,18.07,9.3290,0.2598,-3.5733,9.9933,84.4885,0.7786,-6.2137,normal
231856,-63.76,18.29,8.9591,-0.2394,-3.6272,9.6685,87.8473,-1.8931,-8.8702,normal
231876,-63.01,18.23,9.1662,-0.7925,-4.0534,10.0537,89.6794,-5.4962,-11.3588,normal
231896,-62.40,17.90,10.2185,-1.3108,-4.1492,11.1063,92.4275,-9.0076,-15.2366,normal
231917,-62.02,17.54,10.5632,-1.2366,-4.1372,11.4117,92.4885,-12.8397,-17.5878,normal
231937,-61.79,17.32,10.3334,-0.8511,-3.9983,11.1126,89.5572,-14.9771,-18.7786,normal
231957,-61.63,17.15,10.1742,-0.5471,-3.8463,10.8907,87.6183,-13.6641,-19.8931,normal
231977,-61.53,17.00,10.4615,-0.5770,-3.6260,11.0871,88.4733,-11.3893,-20.7023,normal
231997,-61.57,16.85,10.3322,-0.5734,-3.2932,10.8595,90.8702,-10.3359,-22.0305,normal
232018,-61.66,16.73,9.9012,-0.6919,-3.0765,10.3913,90.8397,-9.6794,-23.0229,normal
232038,-61.72,16.37,9.6522,-0.9768,-2.9628,10.1439,89.2672,-9.2214,-23.6336,normal
232058,-61.73,15.77,9.7348,-1.4042,-2.9892,10.2798,86.0611,-9.9695,-24.0000,normal
232078,-61.71,14.87,10.0078,-1.8531,-2.9377,10.5934,79.6030,-12.2901,-24.3206,normal
232099,-61.65,13.66,9.9850,-2.2996,-3.0658,10.6952,70.5649,-15.6031,-22.9466,normal
232119,-61.45,12.15,9.8617,-2.5809,-3.2645,10.7038,59.2061,-18.2901,-20.5038,normal
232139,-61.24,10.45,9.8294,-2.4636,-3.2789,10.6507,47.1450,-19.6031,-17.5573,normal
232159,-61.10,8.77,9.5433,-2.0925,-3.3148,10.3170,35.0840,-19.4504,-14.5496,normal
232179,-60.94,7.11,9.3242,-1.8914,-3.3303,10.0802,23.6489,-17.3130,-12.3664,normal
232200,-60.77,5.44,9.3697,-1.7202,-3.3423,10.0956,15.1603,-14.1985,-10.9160,normal
232220,-60.58,3.83,9.3925,-1.7035,-3.3220,10.1072,8.4580,-11.4198,-9.8473,normal
232240,-60.35,2.27,9.5397,-1.6448,-3.4345,10.2717,2.3511,-9.6183,-8.9160,normal
232260,-60.14,0.80,9.7324,-1.4700,-3.5075,10.4491,-3.2672,-8.2137,-7.9084,normal
232280,-59.95,-0.53,10.0173,-1.2917,-3.5769,10.7149,-9.2519,-6.8855,-6.9466,normal
232301,-59.78,-1.81,10.1694,-1.1181,-3.6500,10.8622,-13.3740,-5.5267,-6.7328,normal
232321,-59.64,-2.92,10.0616,-1.0618,-3.5063,10.7079,-17.2061,-3.8473,-6.2137,normal
232341,-59.42,-4.06,9.6199,-1.2330,-3.6296,10.3555,-22.1679,-0.2290,-5.3435,normal
232361,-58.93,-5.19,11.7376,-1.2294,-4.3419,12.5751,-23.8015,5.9542,-6.7023,normal
232381,-59.02,-5.79,10.9774,-0.2179,-4.1934,11.7531,-26.0611,-1.3282,-4.3359,normal
232402,-58.60,-6.43,10.6410,-0.5435,-4.4484,11.5462,-25.9695,2.2443,-4.3511,normal
232422,-58.27,-6.90,12.0847,-0.3340,-4.6244,12.9436,-24.0916,4.0458,-2.4275,normal
232442,-58.05,-7.06,11.3772,0.1389,-4.8590,12.3722,-21.2519,-0.8855,0.9160,normal
232462,-57.42,-6.98,10.6326,0.3531,-5.5498,11.9991,-16.2137,1.3130,3.1603,normal
232483,-56.72,-6.75,10.3477,0.3627,-5.3510,11.6551,-14.3969,4.0305,6.0611,normal
232503,-55.91,-6.49,9.4260,0.5327,-5.2684,10.8115,-13.0840,6.3969,7.4962,normal
232523,-54.94,-6.01,9.3290,0.8487,-5.3319,10.7787,-14.0916,9.0992,8.1527,normal
232543,-54.34,-5.57,10.2615,0.7266,-4.9871,11.4324,-13.0840,6.3664,8.2901,normal
232563,-54.07,-5.16,10.1227,0.6560,-4.8267,11.2337,-11.9237,-0.3206,9.2977,normal
232584,-53.89,-4.78,10.3441,0.6931,-4.8040,11.4263,-11.9542,-3.4046,11.8473,normal
232604,-53.85,-4.38,10.1658,0.5854,-4.7262,11.2260,-12.9160,-5.8321,13.8931,normal
232624,-53.74,-4.08,9.6163,0.3723,-4.6639,10.6941,-13.2519,-4.0916,16.1832,normal
232644,-53.61,-3.82,9.4523,0.3759,-4.3574,10.4151,-12.1985,0.0763,18.9466,normal
232664,-53.56,-3.57,9.2404,0.2263,-4.0881,10.1069,-11.6336,1.6031,21.7405,normal
232685,-53.50,-3.47,9.2225,0.0563,-4.1922,10.1307,-12.4733,2.0000,21.6489,normal
232705,-53.46,-3.40,9.3111,-0.0467,-4.1336,10.1875,-14.1985,0.9008,19.6489,normal
232725,-53.47,-3.38,9.2715,0.0192,-4.1982,10.1778,-16.4275,0.2595,17.1298,normal
232745,-53.49,-3.34,9.2416,0.0587,-4.0821,10.1032,-17.7252,-0.8702,14.7481,normal
232766,-53.57,-3.31,9.1590,0.0658,-3.9923,9.9915,-16.9618,-1.2366,12.9618,normal
232786,-53.69,-3.12,9.0884,0.3100,-3.7948,9.8537,-14.6107,0.7786,10.3511,normal
