timestamp_ms,pitch,roll,ax,ay,az,acc_mag,gx,gy,gz,label
505296,-40.58,5.42,8.9519,-0.0922,-6.6978,11.1806,-14.9618,3.1756,9.0534,normal
505316,-40.84,5.30,8.9471,-0.0467,-6.5757,11.1037,-15.4198,0.5954,8.7939,normal
505337,-41.15,5.13,8.9771,-0.1640,-6.5601,11.1198,-15.9389,-2.8092,8.3511,normal
505357,-41.54,4.92,9.0046,-0.2789,-6.5302,11.1267,-16.9008,-6.7328,7.6031,normal
505377,-41.95,4.67,8.8765,-0.3316,-6.5589,11.0418,-18.5038,-10.8244,6.7176,normal
505397,-42.34,4.42,8.6814,-0.2239,-6.6307,10.9263,-19.3740,-14.6412,6.5649,normal
505417,-42.79,4.22,8.7508,-0.2143,-6.4129,10.8511,-20.2290,-17.9847,6.1374,normal
505438,-43.40,3.98,8.6910,-0.2909,-6.0897,10.6161,-21.9237,-22.9618,4.4275,normal
505458,-44.09,3.68,8.2875,-0.2909,-5.8921,10.1728,-24.4122,-28.9313,2.9618,normal
505478,-44.80,3.44,8.0888,-0.1006,-5.7365,9.9170,-25.6336,-34.8550,2.8244,normal
505498,-45.53,3.32,7.9021,0.0934,-5.7150,9.7525,-26.5802,-40.5649,2.9771,normal
505519,-46.33,3.26,7.7249,0.1688,-5.3798,9.4151,-26.2137,-47.2519,1.9084,normal
505539,-47.16,3.37,6.8606,0.5040,-5.3163,8.6940,-24.9924,-54.9924,1.0687,normal
505559,-47.63,3.68,6.1890,0.5997,-5.3893,8.2285,-24.4122,-59.5725,0.5496,normal
505579,-47.92,3.99,6.0657,0.5686,-5.5534,8.2435,-23.0840,-64.1374,-1.0687,normal
505599,-48.12,4.33,6.1363,0.6524,-5.8742,8.5198,-18.7481,-70.6107,-2.3969,normal
505620,-48.48,4.80,6.1627,0.6943,-5.9520,8.5957,-14.5344,-77.7099,-2.0305,normal
505640,-48.52,5.17,5.5701,0.3519,-6.4919,8.5612,-13.7252,-83.7252,-1.2672,normal
505660,-48.14,5.17,5.3127,-0.1209,-7.1515,8.9097,-17.2061,-87.0382,-1.8473,normal
505680,-47.45,4.97,5.3403,-0.2083,-8.2241,9.8080,-19.8015,-90.3817,-0.0916,normal
505701,-46.66,4.77,5.7521,-0.1317,-9.2033,10.8538,-21.5878,-92.4885,2.7939,normal
505721,-45.79,4.56,5.4121,-0.1389,-9.8581,11.2469,-26.3817,-92.8244,3.9389,normal
505741,-44.52,4.27,4.8602,0.0323,-9.9778,11.0987,-30.5038,-88.2137,3.7252,normal
505761,-42.79,4.27,4.1899,0.7566,-10.6123,11.4345,-30.3969,-78.4733,4.3053,normal
505781,-40.71,4.50,4.1049,1.0092,-11.2551,12.0227,-27.8321,-69.6489,4.7786,normal
505802,-38.53,4.78,4.0187,1.0594,-11.5592,12.2836,-27.2977,-60.3817,5.0229,normal
505822,-36.16,4.96,3.9935,0.8571,-12.1027,12.7733,-26.7481,-48.4885,6.7176,normal
505842,-33.81,5.25,4.5681,1.2498,-12.2799,13.1615,-24.1069,-38.3359,11.5573,normal
505862,-31.62,5.60,4.6759,1.1396,-12.3265,13.2328,-24.3664,-30.3053,18.3511,normal
505882,-29.29,5.89,4.3886,1.0271,-12.9778,13.7382,-19.1298,-22.9924,19.4046,normal
505903,-26.81,6.27,3.9373,0.9313,-12.8245,13.4476,-10.5649,-12.7328,12.5344,normal
505923,-24.12,6.79,3.3327,0.9732,-12.2020,12.6864,-3.5573,0.4885,4.7939,normal
505943,-21.32,7.30,3.2441,0.6931,-12.1015,12.5479,-2.9008,12.1679,1.6336,sitting
505963,-18.61,7.47,3.7421,-0.0658,-12.5277,13.0748,-6.9618,22.1527,3.4656,sitting
505983,-16.19,7.20,4.3586,-0.6488,-12.3744,13.1357,-13.6183,31.6641,8.2290,sitting
506004,-13.89,6.77,4.3419,-0.4561,-11.6813,12.4705,-18.2443,41.1756,11.6336,sitting
506024,-11.76,6.65,4.2916,0.5650,-11.4120,12.2053,-15.0076,48.6718,11.2672,sitting
506044,-9.72,7.14,4.5909,1.4293,-11.4682,12.4354,-6.9924,55.4351,7.2061,sitting
506064,-7.99,7.77,5.4384,1.2594,-11.5999,12.8732,-6.3664,62.2595,2.1527,sitting
506085,-6.75,8.06,6.3386,0.4417,-11.3006,12.9645,-3.7557,65.2824,-0.7328,sitting
506105,-5.81,8.25,6.5984,0.2969,-10.7811,12.6435,0.3664,66.0000,0.1527,sitting
506125,-5.17,8.50,6.7469,0.4884,-10.7691,12.7174,2.1221,64.4275,2.9313,sitting
506145,-4.76,8.67,7.0425,0.1927,-10.8852,12.9662,2.1985,63.7405,4.8244,sitting
506165,-4.63,8.79,7.8087,0.2406,-10.6039,13.1711,0.0611,65.1450,6.9466,sitting
506186,-4.74,8.72,8.5904,-0.3460,-10.6434,13.6820,-6.7328,64.9008,13.4962,sitting
506206,-5.12,8.21,8.5748,-1.3910,-10.9738,13.9960,-4.5954,58.4733,11.9389,sitting
506226,-5.76,7.77,10.3489,-1.0104,-11.6741,15.6335,1.5267,48.6412,1.9695,sitting
506246,-7.00,7.48,12.6569,-1.1157,-12.0261,17.4948,0.2901,40.1832,-6.7939,sitting
506267,-8.74,7.24,13.0197,-0.7207,-11.2911,17.2487,0.6718,32.7634,-12.1069,sitting
506287,-10.34,7.24,10.2448,0.0922,-10.0185,14.3295,-2.0763,30.5344,-12.8702,sitting
506307,-11.41,7.26,7.6267,0.1532,-8.8394,11.6758,-5.2672,37.9542,-9.9237,sitting
506327,-11.90,7.32,6.0597,0.1867,-7.5860,9.7110,-0.1374,48.9924,-10.1985,sitting
