timestamp_ms,pitch,roll,ax,ay,az,acc_mag,gx,gy,gz,label
2124477,-3.11,1.48,9.7791,1.5598,-4.6783,10.9522,-13.2366,-2.6412,3.8931,fall
2124498,-3.1,1.52,9.7133,1.4856,-4.7118,10.8975,-13.7099,-2.9466,3.5573,fall
2124518,-2.98,1.52,9.5648,1.4676,-4.8973,10.8455,-14.3206,-2.0763,3.6489,fall
2124538,-2.83,1.52,9.5241,1.482,-4.8662,10.7975,-14.7176,-1.0382,3.6489,fall
2124558,-2.75,1.55,9.7193,1.6065,-4.6831,10.9076,-14.7023,-1.3282,3.6947,fall
2124579,-2.74,1.58,9.7755,1.5622,-4.707,10.9616,-14.7023,-2.7481,3.7405,fall
2124599,-2.76,1.58,9.6642,1.4796,-4.6172,10.8122,-14.9618,-3.3893,3.8779,fall
2124619,-2.82,1.56,9.7755,1.5407,-4.6519,10.935,-15.5573,-3.3893,4.0611,fall
2124639,-2.86,1.54,9.7875,1.5203,-4.6914,10.9597,-16.0916,-3.4351,4.4427,fall
2124659,-2.85,1.51,9.7241,1.506,-4.7453,10.9244,-16.229,-2.7176,4.7176,fall
2124680,-2.85,1.49,9.7157,1.5335,-4.7094,10.9052,-16.2595,-2.1985,4.7939,fall
2124700,-2.84,1.5,9.7456,1.5981,-4.6579,10.9191,-16.229,-2.1679,4.4122,fall
2124720,-2.82,1.52,9.6857,1.5646,-4.6735,10.8675,-16.1985,-2.0763,4.3817,fall
2124740,-2.79,1.53,9.6774,1.5598,-4.8088,10.9183,-16,-2.3969,4.458,fall
2124760,-2.74,1.55,9.6798,1.5682,-4.7681,10.9037,-15.542,-2.4885,4.5191,fall
2124781,-2.74,1.57,9.7276,1.5634,-4.7585,10.9414,-15.2214,-2.9924,4.3817,fall
2124801,-2.7,1.59,9.6259,1.549,-4.8183,10.8754,-15.2519,-3.0992,4.4885,fall
2124821,-2.61,1.61,9.578,1.5311,-4.8507,10.8449,-15.3435,-2.0916,4.7328,fall
2124841,-2.57,1.62,9.7444,1.5395,-4.6878,10.9224,-15.4809,-1.8168,4.8855,fall
2124861,-2.64,1.62,9.8474,1.5383,-4.5873,10.9718,-15.5725,-3.2672,4.9924,fall
2124882,-2.75,1.61,9.8102,1.5095,-4.6196,10.9481,-15.9237,-4.4733,5.1756,fall
2124902,-2.79,1.59,9.657,1.4904,-4.7525,10.8658,-16.0763,-4.5954,5.1908,fall
2124922,-2.75,1.58,9.596,1.5323,-4.8231,10.8486,-16.5496,-3.374,5.4351,fall
2124942,-2.68,1.57,9.6283,1.5203,-4.8195,10.874,-16.5954,-2.6107,5.542,fall
2124962,-2.61,1.56,9.651,1.5718,-4.78,10.884,-16.2901,-2,5.6641,fall
2124983,-2.57,1.57,9.669,1.5981,-4.7549,10.8928,-16.2748,-1.5573,5.4046,fall
2125003,-2.56,1.57,9.736,1.5323,-4.6615,10.9026,-16.2137,-1.5573,4.855,fall
2125023,-2.59,1.56,9.7731,1.5143,-4.616,10.914,-16.1069,-2.0611,4.687,fall
2125043,-2.64,1.57,9.8102,1.5909,-4.6316,10.9646,-15.6794,-2.7481,4.4885,fall
2125063,-2.71,1.62,9.815,1.64,-4.6148,10.9691,-15.6031,-3.4656,4.4275,fall
2125084,-2.71,1.65,9.6845,1.5814,-4.8147,10.9304,-15.6794,-3.8931,4.229,fall
2125104,-2.67,1.65,9.6331,1.5287,-4.8088,10.8746,-15.9237,-3.0229,4.1832,fall
2125124,-2.6,1.66,9.6079,1.5323,-4.8279,10.8614,-16.0153,-2.3817,4.4275,fall
2125144,-2.48,1.68,9.596,1.6065,-4.9584,10.9201,-15.9542,-2.2443,4.687,fall
2125164,-2.4,1.69,9.6403,1.555,-4.8147,10.8873,-15.9847,-2.1679,4.7328,fall
2125185,-2.34,1.68,9.6426,1.5119,-4.8949,10.9191,-15.7863,-2.7634,4.8092,fall
2125205,-2.3,1.69,9.6534,1.5574,-4.7872,10.8872,-15.542,-2.2137,4.7939,fall
2125225,-2.31,1.69,9.7588,1.5167,-4.707,10.9403,-15.8321,-2.2137,4.7786,fall
2125245,-2.39,1.69,9.8102,1.5371,-4.6076,10.9469,-15.542,-2.8244,4.3969,fall
2125265,-2.47,1.72,9.8402,1.6245,-4.6651,11.0105,-15.4351,-3.4656,4.3664,fall
2125286,-2.55,1.75,9.7372,1.5969,-4.6819,10.9217,-15.6031,-4.1221,4.3511,fall
2125306,-2.56,1.79,9.6187,1.6149,-4.6507,10.8054,-15.6183,-3.6489,4.4275,fall
2125326,-2.55,1.83,9.6618,1.6352,-4.6519,10.8473,-15.7099,-1.8931,4.3206,fall
2125346,-2.57,1.86,9.7528,1.5802,-4.6603,10.9239,-15.3282,-2.5038,4.1832,fall
2125366,-2.63,1.88,9.7995,1.5778,-4.6208,10.9486,-15.3588,-3.9084,4.1374,fall
2125387,-2.69,1.87,9.6941,1.5155,-4.7226,10.8892,-15.6489,-4.3206,4.2595,fall
2125407,-2.68,1.84,9.5433,1.4832,-4.8195,10.7936,-16.2748,-3.8321,4.8702,fall
2125427,-2.61,1.79,9.6522,1.488,-4.8878,10.9211,-16.7939,-3.374,5.6489,fall
2125447,-2.56,1.74,9.6678,1.4844,-4.9464,10.9607,-16.9771,-3.8779,5.8015,fall
2125467,-2.47,1.7,9.5577,1.5467,-4.8949,10.849,-16.9008,-3.4504,6.1679,fall
2125488,-2.38,1.71,9.5361,1.5766,-4.7692,10.7782,-17.0992,-1.9542,6.2443,fall
2125508,-2.34,1.73,9.6331,1.6233,-4.6723,10.8287,-17.3282,-1.3893,5.6794,fall
2125528,-2.37,1.74,9.7887,1.5742,-4.634,10.944,-17.5114,-2.0305,5.2366,fall
2125548,-2.4,1.72,9.7492,1.555,-4.774,10.9661,-16.8397,-2.3969,5.3435,fall
2125568,-2.39,1.75,9.6738,1.6604,-4.7297,10.8954,-16.3969,-2.4733,5.8168,fall
2125589,-2.36,1.8,9.657,1.6257,-4.7776,10.8962,-15.771,-2.0611,5.7405,fall
2125609,-2.37,1.84,9.7432,1.5838,-4.7058,10.9354,-15.1908,-2.2901,5.8168,fall
2125629,-2.42,1.86,9.8354,1.5323,-4.7106,11.0124,-14.5191,-3.0076,5.9542,fall
2125649,-2.48,1.87,9.7288,1.5203,-4.6974,10.91,-14.4885,-4.0305,5.542,fall
2125670,-2.53,1.87,9.6977,1.4736,-4.7932,10.9175,-14.6412,-4.0763,5.084,fall
2125690,-2.54,1.85,9.6798,1.476,-4.7645,10.8893,-14.5649,-4.2137,4.8244,fall
2125710,-2.54,1.85,9.6881,1.5095,-4.8327,10.9313,-14.2595,-4.2748,4.9466,fall
2125730,-2.53,1.86,9.6798,1.5095,-4.7812,10.9012,-13.9237,-4.458,4.7481,fall
2125750,-2.53,1.88,9.6474,1.5,-4.8004,10.8796,-13.4046,-4.4275,4.7176,fall
2125771,-2.53,1.91,9.6881,1.5131,-4.7944,10.9149,-13.1298,-4.1221,4.5649,fall
2125791,-2.54,1.94,9.6893,1.5024,-4.7262,10.8847,-13.2519,-3.5115,4.4122,fall
2125811,-2.55,1.96,9.6774,1.4976,-4.7429,10.8807,-13.7252,-3.145,4.7481,fall
2125831,-2.53,1.95,9.7013,1.4581,-4.8351,10.9371,-13.5725,-3.2977,5.3282,fall
2125851,-2.51,1.96,9.6989,1.5479,-4.8147,10.9383,-13.0076,-3.4809,5.7863,fall
2125872,-2.49,2.02,9.6738,1.5766,-4.7992,10.9133,-12.8244,-3.542,5.7099,fall
2125892,-2.47,2.06,9.6438,1.5407,-4.8088,10.8858,-12.5802,-3.8473,5.0382,fall
2125912,-2.45,2.09,9.6414,1.506,-4.7944,10.8725,-12.3817,-4.0153,4.6412,fall
2125932,-2.46,2.12,9.73,1.5119,-4.7657,10.9394,-11.8779,-4.0611,4.4885,fall
2125953,-2.46,2.13,9.7121,1.4784,-4.8806,10.9695,-11.4504,-4.5954,4.7176,fall
2125973,-2.45,2.15,9.6522,1.5,-4.8734,10.9163,-11.3435,-4.7786,5.145,fall
2125993,-2.42,2.15,9.6391,1.4449,-4.9081,10.9128,-11.1756,-4.7328,5.4351,fall
2126013,-2.39,2.16,9.6331,1.4545,-4.9201,10.9142,-11.0687,-4.9466,5.6947,fall
2126033,-2.34,2.17,9.6403,1.4688,-4.9404,10.9316,-11.0382,-4.7481,5.771,fall
2126054,-2.3,2.16,9.645,1.4473,-4.9596,10.9416,-11.1603,-4.7634,5.7863,fall
2126074,-2.27,2.14,9.645,1.4066,-4.9285,10.9222,-11.2824,-4.5954,5.771,fall
2126094,-2.23,2.12,9.6678,1.4377,-4.9321,10.948,-11.313,-4.2137,6,fall
2126114,-2.2,2.09,9.675,1.3898,-4.956,10.9589,-11.2519,-4.229,6.0611,fall
2126134,-2.17,2.06,9.6486,1.4317,-4.9428,10.9352,-10.7634,-4.2443,6.1221,fall
2126155,-2.13,2.06,9.5924,1.4305,-4.9512,10.8892,-10.5649,-4.1832,6.0458,fall
2126175,-2.08,2.03,9.6139,1.3204,-4.9979,10.9156,-10.3817,-4.0611,5.5573,fall
2126195,-2.03,1.98,9.6259,1.2977,-4.9895,10.9196,-10.1527,-3.6489,5.8321,fall
2126215,-1.97,1.9,9.6259,1.2821,-4.9799,10.9134,-10.0458,-2.9924,6.1374,fall
2126235,-1.91,1.85,9.6079,1.306,-4.968,10.8949,-10.3664,-2.6412,6.0611,fall
2126256,-1.85,1.79,9.6223,1.2594,-4.9584,10.8977,-10.7939,-2.3206,6,fall
2126276,-1.81,1.71,9.6271,1.2582,-4.956,10.9007,-11.0992,-2.0763,6.0305,fall
2126296,-1.75,1.62,9.6331,1.2534,-5.0027,10.9267,-11.313,-2.1374,6.229,fall
2126316,-1.7,1.53,9.6139,1.2438,-4.9991,10.9071,-11.5267,-2.1527,6.2901,fall
2126336,-1.66,1.45,9.6474,1.2641,-5.0147,10.9461,-11.6794,-2.1527,6.1679,fall
2126357,-1.6,1.36,9.6905,1.2354,-5.0673,11.005,-11.9847,-2.0305,5.9389,fall
2126377,-1.58,1.26,9.6881,1.2713,-5.0087,10.9801,-11.9695,-2.1221,5.8779,fall
2126397,-1.53,1.18,9.6582,1.245,-5.0266,10.9589,-12.2443,-2.0153,5.8321,fall
2126417,-1.52,1.09,9.6965,1.2258,-4.9584,10.9595,-12.1221,-2.0305,5.771,fall
2126437,-1.52,1.03,9.6426,1.3001,-4.9428,10.9134,-12.1832,-2.1069,5.5878,fall
2126458,-1.51,0.96,9.6857,1.2175,-4.9871,10.9621,-12.1679,-2.1527,5.5267,fall
2126478,-1.49,0.89,9.651,1.2186,-4.9871,10.9316,-12.3817,-2.2137,5.4809,fall
2126498,-1.48,0.82,9.6151,1.2342,-4.968,10.8929,-12.5649,-2.1985,5.5115,fall
2126518,-1.46,0.75,9.6151,1.2007,-5.0266,10.916,-12.7634,-2.0305,5.4198,fall
2126538,-1.44,0.68,9.6355,1.2426,-4.9907,10.9222,-13.0534,-2.0305,5.1145,fall
2126559,-1.42,0.63,9.6223,1.2617,-4.9728,10.9045,-13.1603,-1.7099,4.9618,fall
2126579,-1.4,0.58,9.6271,1.245,-4.9919,10.9156,-13.6794,-1.4351,4.9466,fall
2126599,-1.39,0.51,9.681,1.2139,-4.9787,10.9536,-14.0763,-1.2977,4.8702,fall
2126619,-1.4,0.41,9.6762,1.1756,-4.9344,10.9252,-14.6107,-0.9771,5.145,fall
2126640,-1.41,0.32,9.76,1.2498,-4.95,11.0146,-15.2214,-1.0534,5.2824,fall
2126660,-1.44,0.26,9.809,1.3132,-4.9165,11.0505,-15.5267,-1.6947,5.4656,fall
2126680,-1.5,0.21,9.8545,1.3216,-4.9548,11.1089,-15.9695,-2.7328,5.6031,fall
2126700,-1.56,0.15,9.8342,1.2701,-4.9871,11.0994,-16.0763,-3.8168,6.0305,fall
2126720,-1.65,0.09,9.8246,1.318,-4.9919,11.0986,-15.9542,-5.2824,6.687,fall
2126741,-1.73,0.04,9.7408,1.245,-5.0278,11.0323,-16.229,-6.687,6.8702,fall
2126761,-1.85,-0.03,9.8342,1.2067,-4.9907,11.0939,-16.5038,-8.3969,7.0992,fall
2126781,-2,-0.13,9.8545,1.1576,-5.023,11.1213,-16.687,-10.6412,7.6489,fall
2126801,-2.18,-0.22,9.7767,1.172,-4.9979,11.0425,-16.6718,-12.8702,8.1221,fall
2126822,-2.37,-0.31,9.7229,1.1588,-4.962,10.9772,-16.9924,-14.855,8.3053,fall
2126842,-2.54,-0.42,9.7241,1.1073,-5.108,11.0397,-17.5878,-16.3359,8.3359,fall
2126862,-2.71,-0.6,9.6175,0.9421,-5.1487,10.9496,-18.2901,-17.9389,8.8092,fall
2126882,-2.81,-0.83,9.5134,0.7997,-5.2936,10.9163,-18.7328,-18.9008,9.7863,fall
2126902,-2.82,-1.13,9.2955,0.5962,-5.3666,10.75,-19.771,-19.084,10.458,fall
2126923,-2.75,-1.57,9.177,0.3436,-5.5414,10.7258,-20.7634,-18.6412,11.3282,fall
2126943,-2.59,-2.09,9.2153,0.1389,-5.7269,10.8507,-21.8931,-18.3359,12.229,fall
2126963,-2.37,-2.68,9.3757,-0.0503,-6.0202,11.1422,-23.2519,-18.9466,13.1298,fall
2126983,-2.07,-3.39,9.3996,-0.3615,-6.2345,11.2851,-25.1908,-18.5802,13.4351,fall
2127004,-1.72,-4.2,9.3685,-0.4908,-6.2668,11.282,-26.9771,-17.374,13.2061,fall
2127024,-1.33,-5,9.2237,-0.5435,-6.2884,11.1765,-30.1374,-15.2977,12.5954,fall
2127044,-0.89,-5.82,9.3111,-0.5339,-6.2836,11.2456,-33.3435,-12.8092,11.1603,fall
2127064,-0.51,-6.61,9.3877,-0.4968,-6.122,11.2185,-36.4733,-10.8244,9.6336,fall
2127084,-0.19,-7.36,9.402,-0.4322,-6.0621,11.1953,-39.8779,-9.9389,8.2748,fall
2127105,0.09,-8.14,9.3721,-0.4034,-5.9388,11.1026,-43.2061,-8.5496,7.0687,fall
2127125,0.36,-8.85,9.2943,-0.401,-5.8586,10.994,-46.1069,-7.2061,5.9084,fall
2127145,0.65,-9.54,9.1578,-0.3484,-5.7988,10.8449,-48.8702,-5.4351,5.0534,fall
2127165,0.93,-10.23,9.1518,-0.3974,-5.7162,10.7976,-52.0611,-3.7099,4.3969,fall
2127186,1.17,-10.92,9.2392,-0.4274,-5.6479,10.8372,-54.5802,-2.7481,4.5344,fall
2127206,1.35,-11.62,9.3458,-0.3591,-5.5952,10.8986,-57.0534,-2.916,5.145,fall
2127226,1.45,-12.2,9.3769,-0.2358,-5.4959,10.8714,-59.0382,-4.0305,5.4046,fall
2127246,1.45,-12.69,9.3398,-0.1185,-5.3774,10.7778,-60.7481,-6.0153,5.7405,fall
2127266,1.42,-13.08,9.3625,-0.0287,-5.5354,10.8765,-61.5115,-8.1374,6.2901,fall
2127287,1.23,-13.34,10.2316,0.4178,-5.3283,11.5435,-59.313,-12.0611,6.3359,fall
2127307,0.86,-13.22,10.1239,0.8966,-5.4109,11.5141,-58.2443,-17.5573,5.7863,fall
2127327,0.44,-12.89,10.0628,1.172,-5.3115,11.4388,-56.6412,-22.4275,4.4733,fall
2127347,0.08,-12.38,10.4208,1.652,-5.7138,11.9987,-55.1145,-26.3511,3.2977,fall
2127368,-0.44,-11.64,11.8956,2.5534,-5.6312,13.4065,-50.9924,-34.1221,0.6718,fall
2127388,-0.79,-10.5,8.5988,2.7557,-5.9304,10.8029,-52.5954,-43.0229,-0.7023,fall
