timestamp_ms,pitch,roll,ax,ay,az,acc_mag,gx,gy,gz,label
381623,-2.44,-4.19,9.7468,0.2191,-5.0566,10.9826,-13.9542,-1.2977,1.5115,normal
381643,-2.41,-4.24,9.8677,0.3484,-4.9847,11.0608,-13.2977,-0.7634,2.4885,normal
381663,-2.40,-4.23,9.8988,0.3663,-5.0278,11.1086,-12.7634,-0.7634,2.4885,normal
381683,-2.37,-4.27,9.8090,0.2083,-5.0182,11.0201,-12.9618,-0.1985,2.3053,normal
381704,-2.31,-4.34,9.8114,0.2274,-5.0446,11.0347,-13.0687,0.4733,2.4580,normal
381724,-2.29,-4.39,9.9479,0.2813,-4.9775,11.1273,-13.5267,0.8550,1.8931,normal
381744,-2.31,-4.41,9.9371,0.3196,-5.0039,11.1305,-13.2977,-0.3511,0.5954,normal
381764,-2.33,-4.45,9.8952,0.2286,-5.0075,11.0925,-13.5267,-1.0840,0.0763,normal
381784,-2.33,-4.52,9.8366,0.2083,-5.0051,11.0387,-13.7710,-1.1450,0.2748,normal
381805,-2.36,-4.61,9.8773,0.1999,-4.9644,11.0565,-14.1679,-0.6870,0.7939,normal
381825,-2.37,-4.69,9.9311,0.2263,-5.0338,11.1363,-14.9313,-0.6565,0.8397,normal
381845,-2.42,-4.77,10.0820,0.2777,-4.9608,11.2398,-15.7099,-1.9542,-0.1679,normal
381865,-2.52,-4.86,9.9838,0.1975,-4.9416,11.1416,-16.7328,-4.4885,-0.8244,normal
381885,-2.61,-4.99,9.8162,0.1377,-5.0218,11.0271,-17.4962,-5.3435,-0.4275,normal
381906,-2.66,-5.15,9.7743,0.1712,-5.0769,11.0155,-18.4580,-5.3130,0.8244,normal
381926,-2.70,-5.29,9.9599,0.1903,-5.1104,11.1961,-20.4275,-5.3893,1.2214,normal
381946,-2.72,-5.55,9.8641,-0.1245,-5.1619,11.1338,-22.8855,-6.2901,1.4046,normal
381966,-2.69,-5.91,9.7312,-0.0874,-5.2277,11.0469,-25.5114,-5.1908,2.3664,normal
381986,-2.66,-6.16,9.9647,0.2622,-5.1404,11.2155,-27.5420,-4.6412,2.8702,normal
382007,-2.71,-6.31,10.0269,0.3998,-5.1224,11.2667,-28.9008,-5.8015,2.0916,normal
382027,-2.76,-6.48,9.8366,0.2538,-5.1607,11.1111,-30.7481,-6.9008,1.3435,normal
382047,-2.76,-6.71,9.7911,0.2083,-5.1487,11.0643,-32.7634,-6.0458,1.7252,normal
382067,-2.73,-6.92,9.8210,0.3005,-5.1775,11.1062,-34.0458,-5.6336,2.3969,normal
382087,-2.72,-7.08,9.8904,0.4046,-5.1727,11.1688,-34.7176,-5.6947,2.2595,normal
382108,-2.72,-7.20,9.8450,0.5088,-5.1404,11.1178,-35.2977,-5.5267,1.3588,normal
382128,-2.70,-7.23,9.8474,0.6177,-5.1679,11.1382,-35.2672,-5.4809,0.1679,normal
382148,-2.69,-7.22,9.8665,0.6656,-5.1607,11.1545,-35.4351,-6.0916,-0.5954,normal
382168,-2.68,-7.18,9.8605,0.6859,-5.1092,11.1267,-35.5267,-7.0229,-1.1145,normal
382188,-2.69,-7.14,9.8043,0.6548,-5.2134,11.1235,-35.0840,-7.9389,-1.5420,normal
382209,-2.68,-7.09,9.8186,0.7075,-5.1918,11.1293,-35.3130,-8.6870,-1.5725,normal
382229,-2.67,-7.01,9.7444,0.7434,-5.2074,11.0735,-35.2366,-8.9466,-1.4962,normal
382249,-2.64,-6.90,9.7336,0.8224,-5.1906,11.0618,-35.4656,-8.7023,-1.3893,normal
382269,-2.60,-6.71,9.7707,0.9972,-5.2373,11.1306,-35.2824,-8.6565,-1.1298,normal
382290,-2.54,-6.45,9.7492,1.1648,-5.2637,11.1404,-34.3969,-9.3435,-1.2366,normal
382310,-2.47,-6.10,9.7468,1.3228,-5.2696,11.1588,-33.2214,-9.8779,-0.9618,normal
382330,-2.39,-5.70,9.7444,1.3719,-5.3067,11.1802,-31.5878,-9.7863,-0.8397,normal
382350,-2.31,-5.26,9.7803,1.3982,-5.2505,11.1883,-30.1221,-9.2366,-0.8397,normal
382370,-2.27,-4.78,9.7911,1.5598,-5.0865,11.1432,-28.5954,-8.8244,-1.4962,normal
382390,-2.27,-4.24,9.6881,1.5945,-5.0111,11.0233,-28.0916,-9.9847,-2.4122,normal
382411,-2.25,-3.81,9.4679,1.3850,-5.1272,10.8557,-29.3130,-10.5496,-2.9008,normal
382431,-2.13,-3.50,9.3518,1.3252,-5.2972,10.8292,-30.5191,-10.5191,-2.5802,normal
382451,-1.95,-3.21,9.4451,1.4569,-5.4755,11.0143,-30.4733,-10.9008,-1.3130,normal
382471,-1.71,-2.80,9.4068,1.7490,-5.5952,11.0839,-29.9237,-11.5725,0.1679,normal
382491,-1.40,-2.32,9.4559,1.8950,-5.8131,11.2604,-29.8321,-12.4733,1.7557,normal
382512,-1.03,-1.87,9.4906,1.8651,-6.0501,11.4085,-30.2901,-12.1069,2.8550,normal
382532,-0.64,-1.47,9.3182,1.8699,-5.8562,11.1634,-31.3740,-9.5573,4.1832,normal
382552,-0.22,-1.09,9.1794,1.8543,-5.7796,11.0047,-32.1985,-5.3740,5.7405,normal
382572,0.25,-0.70,9.2273,2.0363,-5.7030,11.0369,-30.9160,-0.8397,8.0611,normal
382592,0.72,-0.19,9.4822,2.2326,-5.6419,11.2574,-27.6336,2.9008,9.1450,normal
382613,1.13,0.43,9.6642,2.3499,-5.4899,11.3604,-24.1679,4.7328,8.7786,normal
