timestamp_ms,pitch,roll,ax,ay,az,acc_mag,gx,gy,gz,label
690840,-7.22,-6.75,10.0640,-0.1520,-4.1934,10.9038,-14.5802,-2.1069,4.0916,normal
690860,-7.22,-6.77,10.0604,-0.1317,-4.1611,10.8878,-14.5038,-1.7405,3.5573,normal
690880,-7.23,-6.78,10.0628,-0.1496,-4.1336,10.8798,-14.3511,-1.8321,3.2519,normal
690900,-7.22,-6.83,10.0042,-0.1963,-4.2593,10.8749,-15.0992,-2.0153,3.6031,normal
690921,-7.16,-6.89,9.9144,-0.1820,-4.2246,10.7785,-15.2824,-1.4504,4.1679,normal
690941,-7.14,-6.89,10.0329,-0.0371,-4.1492,10.8571,-14.0916,-1.3740,4.5038,normal
690961,-7.18,-6.81,10.1394,-0.0060,-4.1599,10.9596,-13.4351,-1.6336,4.6565,normal
690981,-7.20,-6.76,10.0952,-0.0874,-4.1384,10.9108,-12.7634,-2.0305,4.2901,normal
691001,-7.21,-6.73,10.0628,-0.1353,-4.1671,10.8924,-11.9084,-2.1527,3.7863,normal
691022,-7.21,-6.69,10.0461,-0.0766,-4.1779,10.8804,-11.1603,-2.2901,3.5420,normal
691042,-7.20,-6.60,10.0305,0.0192,-4.1731,10.8640,-10.5802,-2.4122,3.2977,normal
691062,-7.19,-6.48,10.0952,0.0287,-4.2449,10.9514,-10.0458,-2.8702,3.0687,normal
691083,-7.22,-6.37,10.1275,-0.0048,-4.1839,10.9577,-9.4809,-3.6489,2.7786,normal
691103,-7.25,-6.27,10.1335,-0.0551,-4.2437,10.9863,-9.2366,-5.0229,2.8855,normal
691123,-7.28,-6.20,10.1335,-0.0850,-4.2940,11.0060,-8.9160,-6.3817,3.0992,normal
691143,-7.30,-6.15,10.0281,-0.0910,-4.3598,10.9352,-8.9924,-7.1145,3.5420,normal
691163,-7.31,-6.10,10.0281,-0.0790,-4.3646,10.9371,-8.8702,-7.5267,4.0763,normal
691184,-7.30,-6.06,10.0401,-0.1006,-4.3981,10.9616,-9.7252,-7.4809,4.2901,normal
691204,-7.29,-6.05,10.0389,-0.0910,-4.4317,10.9739,-10.6412,-7.6641,4.2595,normal
691224,-7.29,-6.09,10.0066,-0.1748,-4.3479,10.9117,-11.7252,-7.6183,4.1374,normal
691244,-7.29,-6.14,10.1167,-0.1341,-4.3754,11.0231,-12.2595,-7.8473,4.3206,normal
691265,-7.32,-6.21,10.1801,-0.1736,-4.3886,11.0872,-13.2519,-8.5344,4.3664,normal
691285,-7.32,-6.35,10.0401,-0.3065,-4.4484,10.9857,-15.0687,-9.6031,4.3664,normal
691305,-7.29,-6.55,9.9491,-0.3256,-4.5191,10.9322,-16.9771,-9.9847,4.7939,normal
691325,-7.23,-6.77,9.9383,-0.2873,-4.5203,10.9218,-18.8244,-10.2137,5.5115,normal
691345,-7.17,-6.98,10.0018,-0.2550,-4.5250,10.9807,-20.9313,-10.3053,6.0611,normal
691366,-7.11,-7.22,10.0209,-0.2717,-4.5777,11.0204,-22.7176,-10.6260,6.1374,normal
691386,-7.06,-7.45,10.0006,-0.2490,-4.5705,10.9983,-24.0305,-11.1603,6.1069,normal
691406,-7.03,-7.69,10.0377,-0.2693,-4.5442,11.0217,-24.6412,-11.9389,6.0611,normal
691426,-7.02,-7.89,10.0401,-0.2382,-4.5693,11.0335,-24.3664,-13.0687,6.3206,normal
691446,-7.02,-8.04,10.0078,-0.2143,-4.6244,11.0266,-23.4656,-14.5954,6.7634,normal
691467,-7.02,-8.17,9.9898,-0.2191,-4.6471,11.0200,-22.3664,-16.0153,7.4809,normal
691487,-6.99,-8.27,9.8833,-0.3256,-4.7154,10.9554,-20.2443,-17.4962,8.1679,normal
691507,-6.92,-8.35,9.7683,-0.3747,-4.8530,10.9139,-17.6794,-18.4580,8.7328,normal
691527,-6.81,-8.39,9.7121,-0.3819,-4.9285,10.8977,-15.4198,-18.6870,9.1298,normal
691548,-6.61,-8.47,9.5660,-0.6141,-5.0494,10.8343,-14.2137,-17.8931,9.1603,normal
691568,-6.33,-8.65,9.6043,-0.8284,-5.0973,10.9047,-13.7099,-16.7023,9.5115,normal
691588,-6.01,-8.89,9.6702,-0.9529,-5.2074,11.0244,-13.4046,-15.1450,10.3817,normal
691608,-5.65,-9.10,9.6857,-0.9457,-5.3211,11.0915,-13.0229,-14.1832,10.5038,normal
691628,-5.26,-9.30,9.6822,-0.9481,-5.3474,11.1013,-13.2519,-12.5802,10.0153,normal
691649,-4.81,-9.50,9.5756,-0.9816,-5.4731,11.0730,-13.8321,-10.4580,9.3435,normal
691669,-4.30,-9.75,9.5589,-1.0726,-5.4672,11.0640,-14.4275,-7.8321,8.7939,normal
691689,-3.75,-10.01,9.5445,-1.1313,-5.5282,11.0877,-14.8244,-5.3588,8.3511,normal
691709,-3.21,-10.29,9.4655,-1.1803,-5.5019,11.0118,-15.0534,-3.0840,7.2824,normal
691729,-2.64,-10.60,9.4236,-1.3024,-5.4229,10.9502,-15.4656,-0.8397,5.4198,normal
691750,-2.02,-10.92,9.3362,-1.3336,-5.4899,10.9125,-15.6794,1.5420,3.4198,normal
691770,-1.45,-11.28,9.3577,-1.4653,-5.4217,10.9137,-16.2595,3.7099,1.9084,normal
691790,-0.85,-11.69,9.3494,-1.5754,-5.4552,10.9385,-17.9389,5.9695,0.4122,normal
691810,-0.26,-12.15,9.3661,-1.6532,-5.4289,10.9512,-19.9542,7.8626,-0.5038,normal
691830,0.30,-12.67,9.3494,-1.7238,-5.3331,10.9006,-23.1450,10.0000,-0.9466,normal
691851,0.88,-13.23,9.3422,-1.6939,-5.3044,10.8757,-26.7481,12.1374,-1.1298,normal
691871,1.33,-13.76,9.5026,-1.5838,-5.1451,10.9215,-30.2443,14.2443,-1.2214,normal
691891,1.66,-14.23,9.6798,-1.4664,-5.0494,11.0156,-33.2824,15.1756,-1.4504,normal
691911,1.89,-14.67,9.6534,-1.4102,-4.9716,10.9496,-35.6489,15.3435,-1.5878,normal
691932,2.10,-15.08,9.7480,-1.2941,-4.9380,11.0037,-37.2061,15.0687,-1.7557,normal
691952,2.16,-15.42,9.7049,-1.2390,-4.8076,10.9010,-38.9924,14.5038,-1.6489,normal
691972,2.20,-15.74,9.4918,-1.2438,-4.6866,10.6586,-40.8397,13.6794,-1.8168,normal
691992,2.24,-16.11,9.3506,-1.3084,-4.7070,10.5499,-42.7939,13.6641,-1.2824,normal
692013,2.19,-16.46,9.6187,-1.2330,-4.4819,10.6831,-43.6336,13.8473,-0.4885,normal
692033,2.04,-16.68,10.0078,-0.8811,-4.6448,11.0682,-44.2137,11.4198,0.0916,normal
692053,1.62,-16.64,10.7500,-0.5136,-4.4712,11.6540,-44.0916,7.3588,-0.2137,normal
692073,0.97,-16.41,11.1582,-0.1784,-4.3838,11.9898,-43.3740,1.8321,-0.8397,normal
692093,0.18,-16.00,10.9092,0.1233,-4.2796,11.7192,-42.7634,-3.6183,-2.0305,normal
692114,-0.55,-15.57,10.6279,0.1604,-4.4005,11.5040,-42.7786,-7.6336,-3.5420,normal
692134,-1.31,-15.13,10.9523,0.1832,-4.2832,11.7615,-43.2214,-9.8931,-5.0229,normal
692154,-2.30,-14.66,10.5931,0.4788,-3.5698,11.1887,-44.9160,-12.6107,-6.5802,normal
692174,-3.16,-14.05,9.4511,0.7793,-3.6571,10.1639,-46.3359,-14.6565,-8.8397,normal
692195,-3.75,-13.39,9.0249,0.9134,-3.7709,9.8236,-48.1679,-14.3511,-10.5649,normal
692215,-4.27,-12.75,9.4798,0.9936,-3.8152,10.2669,-50.4275,-14.0763,-10.6412,normal
692235,-4.81,-12.15,10.3154,1.1301,-4.0941,11.1556,-51.2214,-16.8397,-9.6489,normal
692255,-5.41,-11.54,10.9200,1.3862,-4.2796,11.8103,-51.4351,-21.2519,-8.3511,normal
692276,-5.95,-10.79,11.0576,1.7741,-4.5454,12.0863,-49.9847,-25.8015,-6.3969,normal
692296,-6.37,-9.94,10.7033,1.9800,-4.6268,11.8274,-49.0076,-26.7786,-3.8626,normal
692316,-6.57,-9.08,10.1203,1.7885,-4.7980,11.3419,-47.6794,-23.0229,-0.8550,normal
692336,-6.54,-8.33,9.7001,1.5251,-4.7573,10.9110,-46.0458,-16.6870,3.2061,normal
692356,-6.48,-7.75,9.6630,1.2127,-4.5035,10.7297,-46.2748,-10.6718,7.9237,normal
692377,-6.41,-7.38,9.6546,0.9553,-4.4508,10.6740,-47.7710,-8.3817,10.9008,normal
692397,-6.36,-7.16,9.7324,0.8607,-4.4005,10.7157,-51.8321,-7.4351,12.3053,normal
692417,-6.33,-7.07,9.7444,0.7769,-4.4269,10.7310,-57.5114,-6.9618,13.2214,normal
692437,-6.26,-7.09,9.6594,0.8428,-4.4712,10.6773,-63.2214,-6.7634,13.9542,normal
692458,-6.11,-7.14,9.6067,0.9565,-4.5645,10.6789,-67.9847,-6.0916,14.5954,normal
692478,-5.88,-7.19,9.5026,1.1839,-4.7010,10.6677,-71.5878,-5.2977,15.0534,normal
692498,-5.55,-7.12,9.4930,1.3910,-4.8351,10.7438,-73.7252,-4.7328,15.5420,normal
692518,-5.16,-6.99,9.5529,1.6125,-4.9955,10.9001,-73.8626,-4.7176,16.5954,normal
692539,-4.74,-6.75,9.6007,1.7083,-5.1284,11.0178,-72.1221,-4.5344,18.1679,normal
692559,-4.33,-6.46,9.6474,1.7514,-5.0494,11.0289,-69.8473,-3.7099,19.5573,normal
692579,-3.91,-6.10,9.6714,1.7765,-5.1164,11.0846,-67.0382,-2.2137,20.5191,normal
692599,-3.52,-5.71,9.7097,1.6700,-5.0566,11.0741,-64.1527,-0.3511,21.3893,normal
692619,-3.20,-5.33,9.8485,1.6173,-5.0326,11.1775,-61.0840,0.9160,22.0000,normal
692640,-2.91,-4.96,9.8414,1.5143,-5.0111,11.1470,-57.8015,1.4809,23.1908,normal
692660,-2.63,-4.58,9.7791,1.4533,-5.1020,11.1254,-54.4275,1.6031,23.8321,normal
692680,-2.33,-4.21,9.5720,1.2965,-5.0961,10.9213,-51.7099,2.2901,23.4962,normal
692700,-2.07,-3.92,9.5900,1.1037,-4.9584,10.8523,-51.1908,3.4351,22.1985,normal
692720,-1.87,-3.72,9.7312,0.9768,-4.9895,10.9794,-51.3435,3.7863,21.2061,normal
692741,-1.75,-3.59,9.8450,0.9230,-4.8722,11.0233,-52.1374,3.4504,20.3969,normal
692761,-1.70,-3.51,9.8749,0.8847,-4.8806,11.0506,-53.2366,2.8092,19.9542,normal
692781,-1.66,-3.45,9.8078,0.8930,-4.9488,11.0219,-55.5725,2.4275,19.0687,normal
692801,-1.62,-3.46,9.8701,0.8464,-4.8375,11.0244,-57.7099,2.4885,18.5191,normal
692821,-1.63,-3.51,9.9419,0.8392,-4.7728,11.0601,-59.7405,2.2290,18.5954,normal
692842,-1.66,-3.60,9.9383,0.8523,-4.8231,11.0797,-60.4885,1.8626,18.9313,normal
692862,-1.68,-3.64,9.9335,0.9158,-4.8806,11.1056,-60.7481,1.2214,18.8550,normal
692882,-1.72,-3.67,9.8677,0.9505,-4.8147,11.0207,-62.1679,1.0382,18.6565,normal
692902,-1.78,-3.74,9.8426,0.8655,-4.7321,10.9553,-63.7710,0.7481,18.6260,normal
692922,-1.86,-3.85,9.8617,0.8080,-4.7202,10.9630,-65.6489,0.0458,19.0229,normal
692943,-1.99,-4.04,9.8665,0.7829,-4.6771,10.9470,-67.6336,-1.0382,19.6336,normal
692963,-2.12,-4.20,9.8426,0.8787,-4.7274,10.9543,-69.2672,-2.1679,20.3511,normal
692983,-2.21,-4.34,9.7971,0.9361,-4.8171,10.9574,-71.6031,-2.9924,21.0992,normal
693003,-2.25,-4.47,9.7133,1.0151,-4.8483,10.9034,-73.6947,-2.4885,22.1221,normal
