timestamp_ms,pitch,roll,ax,ay,az,acc_mag,gx,gy,gz,label
1670554,1.95,7.82,9.4092,2.5762,-5.0769,10.9975,-13.5267,-0.3969,4.855,pref_fall
1670575,1.9,7.8,9.4882,2.5067,-5.1176,11.068,-13.6031,-0.5496,5.374,pref_fall
1670595,1.86,7.75,9.4308,2.484,-5.1679,11.037,-13.6031,-0.9466,5.8321,pref_fall
1670615,1.83,7.7,9.4044,2.4972,-5.1571,11.0125,-14.2595,-1.3893,6.1527,pref_fall
1670635,1.81,7.62,9.3877,2.4624,-5.1799,11.001,-15.2977,-1.6489,6.2595,pref_fall
1670655,1.74,7.53,9.4367,2.46,-5.0494,10.9818,-15.9695,-1.9695,6.1832,pre_fall
1670716,1.45,7.34,9.4367,2.557,-5.0566,11.0072,-15.8473,-2.5649,4.9466,pre_fall
1670736,1.46,7.33,9.3817,2.5821,-5.2301,11.0471,-15.6947,-1.8473,4.8702,pre_fall
1670757,1.51,7.32,9.4152,2.6049,-5.2086,11.0707,-15.4962,-0.7939,5.1756,pre_fall
1670777,1.53,7.31,9.4451,2.5893,-5.1392,11.0601,-15.4351,-0.7634,5.4962,pre_fall
1670797,1.5,7.29,9.4774,2.5223,-5.0589,11.0353,-15.2214,-1.6794,5.8473,pre_fall
1670817,1.42,7.25,9.4451,2.4732,-5.0518,10.9931,-14.8092,-2.5954,6.0611,pre_fall
1670837,1.35,7.22,9.4547,2.4864,-5.0829,11.0186,-14.4122,-3.1298,6.1374,pre_fall
1670858,1.28,7.2,9.3972,2.5007,-5.0913,10.9765,-14.0153,-3.5573,5.6336,pre_fall
1670898,1.21,7.18,9.4547,2.4804,-5.1918,11.0679,-13.5878,-3.2366,4.458,pre_fall
1670918,1.2,7.17,9.4403,2.5115,-5.1751,11.0548,-13.5878,-3.1908,3.9847,pre_fall
1670938,1.19,7.17,9.4152,2.4972,-5.1739,11.0295,-13.542,-3.1908,3.2977,pre_fall
1670959,1.15,7.16,9.4966,2.4648,-5.1116,11.063,-13.5267,-3.313,3.4198,pre_fall
1670979,1.09,7.13,9.5086,2.4636,-5.1152,11.0746,-13.3893,-3.8626,3.7557,pre_fall
1670999,1.05,7.12,9.4367,2.466,-5.1523,11.0309,-13.2977,-4.2901,3.8626,pre_fall
1671019,1.04,7.1,9.4116,2.4505,-5.2194,11.0374,-13.3588,-4.3664,3.8321,pre_fall
1671039,1.03,7.07,9.4056,2.4505,-5.1966,11.0216,-13.6641,-4.3053,3.7557,pre_fall
1671060,1.02,7.02,9.408,2.4313,-5.2349,11.0375,-13.8931,-4.1527,3.8473,pre_fall
1671080,1.04,6.99,9.3925,2.4517,-5.223,11.0231,-13.8626,-4.0305,3.8779,pre_fall
1671100,1.06,6.98,9.4092,2.49,-5.205,11.0374,-13.4809,-3.8931,3.771,pre_fall
1671140,1.11,6.99,9.3829,2.5151,-5.2014,11.019,-12.5802,-3.8321,3.313,pre_fall
1671161,1.14,7.02,9.4056,2.4876,-5.199,11.031,-12.3511,-3.8779,3.0534,pre_fall
1671181,1.15,7.03,9.4248,2.472,-5.2098,11.0489,-12.2748,-3.771,3.0229,pre_fall
1671201,1.16,7.05,9.4391,2.5271,-5.2206,11.0787,-11.9847,-3.9847,2.8702,pre_fall
1671221,1.18,7.08,9.4092,2.5127,-5.2553,11.0664,-11.9847,-4.1527,2.8092,pre_fall
1671242,1.21,7.1,9.402,2.4828,-5.2648,11.0581,-12.0611,-3.8779,2.9008,pre_fall
1671262,1.24,7.11,9.4152,2.478,-5.2601,11.0659,-12.1374,-3.8015,3.3588,pre_fall
1671282,1.27,7.1,9.4236,2.4541,-5.2625,11.0689,-12.0763,-3.771,3.6183,pre_fall
1671302,1.31,7.07,9.3901,2.4074,-5.3091,11.0524,-12.3359,-3.7252,3.6641,pre_fall
1671322,1.33,7.04,9.3948,2.4098,-5.2349,11.0215,-12.4885,-3.6794,3.8473,pre_fall
1671383,1.39,6.9,9.4032,2.387,-5.3115,11.0603,-13.5115,-3.771,4.1527,pre_fall
1671403,1.42,6.85,9.4068,2.4313,-5.2804,11.0581,-13.8321,-3.7557,4.3664,pre_fall
1671423,1.46,6.81,9.3925,2.4205,-5.3091,11.0573,-13.9084,-3.6336,4.4427,pre_fall
1671444,1.51,6.78,9.3841,2.4493,-5.3032,11.0537,-13.8779,-3.7099,4.4275,pre_fall
1671464,1.56,6.77,9.3637,2.4852,-5.3067,11.0461,-13.8626,-3.7099,4.3053,pre_fall
1671484,1.58,6.75,9.3841,2.4385,-5.3067,11.053,-13.8015,-3.8626,4.2443,pre_fall
1671504,1.61,6.72,9.3972,2.4541,-5.3534,11.0901,-13.5725,-4.1832,4.4122,pre_fall
1671524,1.65,6.7,9.3422,2.4361,-5.3283,11.0273,-13.771,-4.2748,4.3511,pre_fall
1671545,1.68,6.66,9.3697,2.3942,-5.3259,11.0403,-14.0458,-4.229,4.3359,pre_fall
1671585,1.74,6.54,9.3996,2.4433,-5.357,11.0915,-14.1221,-4.0763,4.5496,pre_fall
