timestamp_ms,pitch,roll,ax,ay,az,acc_mag,gx,gy,gz,label
686899,5.96,9.00,9.2320,1.0379,-5.9328,11.0230,-2.3511,-3.1450,0.5649,normal
686919,5.89,9.09,9.3230,1.2414,-5.8873,11.0960,-0.4733,-4.0763,0.3969,normal
686939,5.80,9.29,9.3793,1.3922,-5.9640,11.2017,2.4885,-5.0840,-0.5344,normal
686960,5.76,9.65,9.3649,1.6029,-6.0885,11.2845,6.7634,-6.9771,-1.6336,normal
686980,5.68,10.07,9.4858,1.5526,-6.0322,11.3481,11.7252,-8.6412,-3.5267,normal
687000,5.55,10.52,9.5744,1.5431,-6.0825,11.4476,16.5038,-10.2137,-5.5267,normal
687020,5.44,10.98,9.4439,1.4772,-6.1579,11.3706,20.4427,-11.2977,-7.5420,normal
687040,5.31,11.42,9.5098,1.4114,-6.1603,11.4183,23.1756,-12.4885,-9.4198,normal
687061,5.22,11.84,9.3901,1.2522,-6.2620,11.3558,25.3588,-12.8855,-9.9847,normal
687081,5.22,12.14,9.2596,1.1253,-6.4189,11.3229,26.9771,-11.7863,-9.2366,normal
687101,5.32,12.41,9.2141,1.1504,-6.5134,11.3423,28.0305,-10.2443,-8.7023,normal
687121,5.48,12.61,9.2811,0.9840,-6.5745,11.4163,28.2137,-8.8550,-8.0153,normal
687141,5.59,12.65,9.5014,0.7254,-6.5541,11.5654,27.3893,-8.0153,-6.6718,normal
687162,5.61,12.54,9.7109,0.4286,-6.5625,11.7282,25.4656,-8.6565,-4.1527,normal
687182,5.62,12.24,9.4942,0.2670,-6.5314,11.5269,22.5344,-9.8015,-0.9008,normal
687202,5.70,11.75,9.1985,-0.0120,-6.6176,11.3316,18.1679,-10.6565,1.8626,normal
687222,5.90,11.09,8.8837,-0.1951,-6.6679,11.1094,12.5038,-10.9771,5.1145,normal
687242,6.11,10.30,8.7245,-0.2945,-6.6212,10.9564,6.8550,-11.9542,7.9084,normal
687263,6.31,9.45,8.6431,-0.2442,-6.6595,10.9138,2.0000,-14.2137,10.0763,normal
687283,6.49,8.59,8.6503,-0.2071,-6.8139,11.0136,-2.0000,-17.3435,11.3893,normal
687303,6.71,7.77,8.5772,-0.0814,-7.0533,11.1052,-5.2672,-20.0000,11.5725,normal
687323,6.93,7.01,8.7185,0.0024,-7.2006,11.3075,-7.4351,-22.2748,11.7557,normal
687343,7.13,6.33,8.7245,0.1365,-7.3119,11.3841,-8.4275,-24.3053,11.4962,normal
687364,7.32,5.71,8.6036,0.1664,-7.4148,11.3591,-8.8244,-25.7557,11.2519,pre_fall
687384,7.61,5.20,8.4025,0.2933,-7.4891,11.2594,-8.2443,-25.5573,10.7176,pre_fall
687404,7.99,4.79,8.2205,0.3735,-7.5082,11.1395,-7.0229,-24.1985,10.0153,pre_fall
687424,8.33,4.45,8.4144,0.4310,-7.2245,11.0987,-5.7405,-21.9084,9.7252,pre_fall
687444,8.51,4.29,8.6921,0.7159,-7.1479,11.2764,-3.6947,-21.0992,8.7634,pre_fall
687465,8.67,4.29,8.6766,0.9409,-7.2580,11.3511,-0.9466,-21.5420,6.5649,pre_fall
687485,8.94,4.44,8.5796,1.1001,-7.3694,11.3634,3.1298,-20.8855,4.6718,pre_fall
687505,9.20,4.74,8.8657,1.2342,-7.4124,11.6219,9.6031,-18.5191,3.4962,pre_fall
687525,9.43,5.22,9.0273,1.3192,-7.3706,11.7285,18.4427,-16.2290,1.9847,pre_fall
687545,9.69,5.82,8.9112,1.3324,-7.3921,11.6545,25.8626,-13.0229,0.1832,pre_fall
687566,10.00,6.51,8.6538,1.2414,-7.2484,11.3565,32.7634,-10.9008,-1.7099,pre_fall
687586,10.47,7.31,8.2001,1.3946,-7.2173,11.0126,40.1221,-8.2595,-2.6565,pre_fall
687606,10.94,8.27,8.3187,1.5359,-7.0413,11.0063,47.8626,-5.7710,-3.8015,pre_fall
687626,11.28,9.30,8.5641,1.5060,-6.8223,11.0524,55.4198,-4.2443,-5.7863,pre_fall
687646,11.44,10.29,8.7041,1.3539,-6.6319,11.0262,61.4046,-3.7710,-6.8702,pre_fall
687667,11.53,11.27,8.7137,1.2462,-6.5733,10.9859,65.6183,-4.7939,-7.9237,pre_fall
687687,11.60,12.14,8.6586,1.2210,-6.7337,11.0365,69.2977,-5.2977,-8.8397,pre_fall
687707,11.71,12.96,8.7987,1.1528,-6.8139,11.1882,72.3664,-4.3206,-8.7328,pre_fall
